Code no., node,M,Family,Genus,Species,Length(mm),C.NC,Stage,Category,Sex,Age,oldnode,New name for sp food web (Family-Genus-Species-Stage-Substage-Other info),New name for sp food web (Family-Genus-Species)
1,Sparidae sp. 1 L,15.5,Sparidae,,,15.5,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 1,Sparidae sp. 1  larvae,Sparidae sp. 1  
2,Sparidae sp. 2 L,5.3,Sparidae,,,5.3,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 2,Sparidae sp. 2 larvae,Sparidae sp. 2
3,Sparidae sp. 3 L,6.9,Sparidae,,,6.9,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 3,Sparidae sp. 3  larvae,Sparidae sp. 3
4,Sparidae sp. 4 L,6.8,Sparidae,,,6.8,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 4,Sparidae sp. 4 larvae,Sparidae sp. 4
5,Sparidae sp. 5 L,11.5,Sparidae,,,11.5,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 5,Sparidae sp. 5 larvae ,Sparidae sp. 5
6,Sparidae sp. 6 L,5.3,Sparidae,,,5.3,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 6,Sparidae sp. 6  larvae,Sparidae sp. 6
7,Sparidae sp. 7 L,15.5,Sparidae,,,15.5,C,Larvae,Vert.Ecto,,,Sparidae larvae sp. 7,Sparidae sp. 7  larvae,Sparidae sp. 7
8,Stromateidae sp. 1 L,3.6,Stromateidae,,,3.6,C,Larvae,Vert.Ecto,,,Stromateidae larvae sp. 1,Stromateidae sp. 1 larvae ,Stromateidae sp. 1 
9,Stromateidae sp. 2 L,5.6,Stromateidae,,,5.6,C,Larvae,Vert.Ecto,,,Stromateidae larvae sp. 2,Stromateidae sp. 2 larvae ,Stromateidae sp. 2
10,Stromateidae sp. 3 L,2,Stromateidae,,,2,C,Larvae,Vert.Ecto,,,Stromateidae larvae sp. 3,Stromateidae sp. 3  larvae,Stromateidae sp. 3
11,Serranidae sp. 1 L,7.5,Serranidae,,,7.5,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 1,Serranidae sp. 1 larvae,Serranidae sp. 1 
12,Serranidae sp. 2 L,3.7,Serranidae,,,3.7,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 2,Serranidae sp. 2 larvae,Serranidae sp. 2
13,Serranidae sp. 3 L,4.5,Serranidae,,,4.5,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 3,Serranidae sp. 3 larvae,Serranidae sp. 3
14,Serranidae sp. 4 L,3.25,Serranidae,,,3.25,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 4,Serranidae sp. 4  larvae ,Serranidae sp. 4
15,Serranidae sp. 5 L,3.5,Serranidae,,,3.5,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 5,Serranidae sp. 5  larvae,Serranidae sp. 5
16,Serranidae sp. 6 L,2,Serranidae,,,2,C,Larvae,Vert.Ecto,,,Serranidae larvae sp. 6,Serranidae sp. 6  larvae,Serranidae sp. 6
17,Epinephelus coioides A,540,Serranidae,Epinephelus ,coioides,540,C,Adult,Vert.Ecto,,,Epinephelus coioides,Serranidae Epinephelus coioides Adult,Serranidae Epinephelus coioides
18,Diodora funiculata A,30,Fissurellidae  ,Diodora ,funiculata,30,NC,Adult,Invert,,,Diodora funiculata,Fissurellidae Diodora funiculata Adult,Fissurellidae Diodora funiculata 
19,Diodora rueppelli A,30,Fissurellidae,Diodora ,rueppelli,30,NC,Adult,Invert,,,Diodora rueppelli,Fissurellidae Diodora rueppelli Adult,Fissurellidae Diodora rueppelli 
20,Torchus erythraeus A,35,Tochidae  ,Torchus ,erythraeus,35,NC,Adult,Invert,,,Torchus erythraeus,Tochidae Torchus erythraeus Adult,Tochidae Torchus erythraeus 
21,Monodonta australis A,25,Tochidae ,Monodonta, australis ,25,NC,Adult,Invert,,,Monodonta australis,Tochidae Monodonta australis Adult,Tochidae Monodonta australis 
22,Priotrochus obscura A,20,Tochidae ,Priotrochus ,obscura ,20,NC,Adult,Invert,,,Priotrochus obscura,Tochidae Priotrochus obscura Adult,Tochidae Priotrochus obscura 
23,Umbonium vestiarium A,12,Tochidae ,Umbonium, vestiarium ,12,NC,Adult,Invert,,,Umbonium vestiarium,Tochidae Umbonium vestiarium Adult,Tochidae Umbonium vestiarium 
24,Euchelus asper A,18,Tochidae ,Euchelus,asper,18,NC,Adult,Invert,,,Euchelus asper,Tochidae Euchelus asper Adult,Tochidae Euchelus asper 
25,Pseudostomatella elegans A,25,Stomatellidae,Pseudostomatella,elegans ,25,NC,Adult,Invert,,,Pseudostomatella elegans,Stomatellidae Pseudostomatella elegans Adult,Stomatellidae Pseudostomatella elegans 
26,Lunella coronatus A,40,Turbinidae ,Turbinidae, Lunella coronatus ,40,NC,Adult,Invert,,,Lunella coronatus,Turbinidae Lunella coronatus Adult,Turbinidae Lunella coronatus 
27,Nodilittorina subnodosa A,10,Littorinidae ,Nodilittorina ,subnodosa ,10,NC,Adult,Invert,,,Nodilittorina subnodosa,Littorinidae Nodilittorina subnodosa Adult,Littorinidae Nodilittorina subnodosa 
28,Planaxis sulcatus A,12,Planaxidae ,Planaxis ,sulcatus,12,NC,Adult,Invert,,,Planaxis sulcatus,Planaxidae Planaxis sulcatus Adult,Planaxidae Planaxis sulcatus 
29,Cerithidea cingulata A,35,Potamididae  ,Cerithidea ,cingulata,35,NC,Adult,Invert,,,Cerithidea cingulata,Potamididae Cerithidea cingulata Adult,Potamididae Cerithidea cingulata 
30,Pirinella conica A,30,Potamididae ,Pirinella ,conica,30,NC,Adult,Invert,,,Pirinella conica,Potamididae Pirinella conica Adult,Potamididae Pirinella conica 
31,Serpulorbis (Vermetus) sulcatus A,5,Vermetidae ,Serpulorbis (Vermetus) ,sulcatus,5,NC,Adult,Invert,,,Serpulorbis (Vermetus) sulcatus,Vermetidae Serpulorbis (Vermetus) sulcatus Adult,Vermetidae Serpulorbis (Vermetus) sulcatus 
32,Cerithium scabridum A,10,Cerithiidae,Cerithium ,scabridum ,10,NC,Adult,Invert,,,Cerithium scabridum ,Cerithiidae Cerithium scabridum Adult,Cerithiidae Cerithium scabridum 
33,Clypeomorus caeruleum A,30,Cerithiidae ,Clypeomorus ,caeruleum,30,NC,Adult,Invert,,,Clypeomorus caeruleum ,Cerithiidae Clypeomorus caeruleum Adult,Cerithiidae Clypeomorus caeruleum 
34,Clypeomorus bifasciata A,20,Cerithiidae,Clypeomorus ,bifascia,20,NC,Adult,Invert,,,Clypeomorus bifasciata,Cerithiidae Clypeomorus bifasciata Adult,Cerithiidae Clypeomorus bifasciata 
35,Strombus decorus persicus A,45,Strombidae,Strombus ,decorus persicus,45,NC,Adult,Invert,,,Strombus decorus persicus,Strombidae Strombus decorus persicus Adult,Strombidae Strombus decorus persicus 
36,Cypraea turdus A,35,Cypraeidae ,Cypraea, turdus ,35,NC,Adult,Invert,,,Cypraea turdus ,Cypraeidae Cypraea turdus Adult,Cypraeidae Cypraea turdus 
