"node","Code.no.","Length.mm.","Category","Stage","Sub.Stage","Stage.Number","Age","C.NC","id","Variety","resolved.to","Kingdom","Subkingdom","Infrakingdom","Phylum","Subdivision","Subphylum","Infraphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Parvorder","Superfamily","Family","Subfamily","Tribe","Genus","Subgenus","Section","Subsection","Species","Subspecies","resolved"
"Sparidae Sp.1 Larvae",1,15.5,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.1","","Sparidae Sp.1"
"Sparidae Sp.2 Larvae",2,5.3,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.2","","Sparidae Sp.2"
"Sparidae Sp.3 Larvae",3,6.9,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.3","","Sparidae Sp.3"
"Sparidae Sp.4 Larvae",4,6.8,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.4","","Sparidae Sp.4"
"Sparidae Sp.5 Larvae",5,11.5,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.5","","Sparidae Sp.5"
"Sparidae Sp.6 Larvae",6,5.3,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.6","","Sparidae Sp.6"
"Sparidae Sp.7 Larvae",7,15.5,"Vert.Ecto","Larvae","","","","C","125564","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Percoidei","","","","Sparidae","","","","","","","Sparidae Sp.7","","Sparidae Sp.7"
"Stromateidae Sp.1 Larvae",8,3.6,"Vert.Ecto","Larvae","","","","C","125567","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Stromateoidei","","","","Stromateidae","","","","","","","Stromateidae Sp.1","","Stromateidae Sp.1"
"Stromateidae Sp.2 Larvae",9,5.6,"Vert.Ecto","Larvae","","","","C","125567","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Stromateoidei","","","","Stromateidae","","","","","","","Stromateidae Sp.2","","Stromateidae Sp.2"
"Stromateidae Sp.3 Larvae",10,2,"Vert.Ecto","Larvae","","","","C","125567","","Species","Animalia","","","Chordata","","Vertebrata","","Gnathostomata","Actinopteri","","","","Perciformes","Stromateoidei","","","","Stromateidae","","","","","","","Stromateidae Sp.3","","Stromateidae Sp.3"
