"resource","consumer"
"Nitzschia longissima Adult","Tintinnopsis baltica Adult"
"Pleurosigma Adult","Tintinnopsis baltica Adult"
"Ceratium lineatum Adult","Tintinnopsis baltica Adult"
"Ceratium longipes Adult","Tintinnopsis baltica Adult"
"Heterocapsa triquetra Adult","Tintinnopsis baltica Adult"
"Coccolithus Adult","Tintinnopsis baltica Adult"
"Bacteriastrum Adult","Tintinnopsis baltica Adult"
"Trichodesmium Adult  1","Tintinnopsis baltica Adult"
"Trichodesmium Adult  2","Tintinnopsis baltica Adult"
"Isochrysis Adult","Tintinnopsis baltica Adult"
"Alexandrium minutum Adult","Tintinnopsis baltica Adult"
"Prorocentrum compressum Adult","Tintinnopsis baltica Adult"
"Prorocentrum balticum Adult","Tintinnopsis baltica Adult"
"Prorocentrum concavum Adult","Tintinnopsis baltica Adult"
"Prorocentrum dentatum Adult","Tintinnopsis baltica Adult"
"Prorocentrum lima Adult","Tintinnopsis baltica Adult"
"Prorocentrum gracile Adult","Tintinnopsis baltica Adult"
"Prorocentrum maculosum Adult","Tintinnopsis baltica Adult"
"Prorocentrum mexicanum Adult","Tintinnopsis baltica Adult"
"Prorocentrum minimum Adult","Tintinnopsis baltica Adult"
"Prorocentrum sigmoides Adult","Tintinnopsis baltica Adult"
"Prorocentrum triestinum Adult","Tintinnopsis baltica Adult"
"Prorocentrum Adult","Tintinnopsis baltica Adult"
"Ceratium horridum Adult","Tintinnopsis baltica Adult"
"Tripos macroceros Adult","Tintinnopsis baltica Adult"
"Rhodomonas baltica Adult","Tintinnopsis baltica Adult"
"Skeletonema Adult","Tintinnopsis baltica Adult"
"Platymonas subcordiformis Adult","Tintinnopsis baltica Adult"
"Thalassiosira decipiens Adult","Tintinnopsis baltica Adult"
"Phaeodactylum tricornutum Adult","Tintinnopsis baltica Adult"
"Heterogloea Adult","Tintinnopsis baltica Adult"
"Isochrysis galbana Adult","Tintinnopsis baltica Adult"
"Phaeodactylum Adult","Tintinnopsis baltica Adult"
"Chlorella Adult","Tintinnopsis baltica Adult"
"Corethron hystrix Adult","Tintinnopsis baltica Adult"
"Biddulphia sinensis Adult","Tintinnopsis baltica Adult"
"Arthrospira platensis Adult","Tintinnopsis baltica Adult"
"Chaetoceros Adult","Tintinnopsis baltica Adult"
"Chaetoceros gracilis Adult","Tintinnopsis baltica Adult"
"Tetraselmis tetrathele Adult","Tintinnopsis baltica Adult"
"Tetraselmis chuii Adult","Tintinnopsis baltica Adult"
"Phormidium corium Adult","Tintinnopsis baltica Adult"
"Lyngbya epiphytica Adult","Tintinnopsis baltica Adult"
"Microcoleus chthonoplastes Adult","Tintinnopsis baltica Adult"
"Phormidium nigroviride Adult","Tintinnopsis baltica Adult"
"Chroococcus membraninus Adult","Tintinnopsis baltica Adult"
"Chroococcus varius Adult  2","Tintinnopsis baltica Adult"
"Chroococcus varius Adult  1","Tintinnopsis baltica Adult"
"Porphyrosiphon ceylanicus Adult","Tintinnopsis baltica Adult"
"Oscillatoria princeps Adult","Tintinnopsis baltica Adult"
"Aphanocapsa marina Adult","Tintinnopsis baltica Adult"
"Tetraselmis gracilis Adult","Tintinnopsis baltica Adult"
"Coscinodiscus centralis Adult","Tintinnopsis baltica Adult"
"Pleurosigma normanii Adult","Tintinnopsis baltica Adult"
"Thalassiothrix fruaenfeldii Adult","Tintinnopsis baltica Adult"
"Nannochloris Adult","Tintinnopsis baltica Adult"
"Diacronema lutheri Adult","Tintinnopsis baltica Adult"
"Pyramimonas Adult","Tintinnopsis baltica Adult"
"Dunaliella tertiolecta Adult","Tintinnopsis baltica Adult"
"Tetraselmis suecica Adult","Tintinnopsis baltica Adult"
"Chaetoceros calcitrans Adult","Tintinnopsis baltica Adult"
"Chaetoceros socialis Adult","Tintinnopsis baltica Adult"
"Detritus","Tintinnopsis baltica Adult"
"Leptocylindrus minimus Adult","Tintinnopsis baltica Adult"
"Leptocylindrus danicus Adult","Tintinnopsis baltica Adult"
"Pseudonitzschia pungens Adult","Tintinnopsis baltica Adult"
"Thalassionema nitzschioides Adult","Tintinnopsis baltica Adult"
"Ciliatea Adult","Tintinnopsis baltica Adult"
"Phaeocystis pouchetii Adult","Tintinnopsis baltica Adult"
"Distephanus speculum Adult","Tintinnopsis baltica Adult"
"Rhodomonas Adult","Tintinnopsis baltica Adult"
"Dinophysis acuminata Adult","Tintinnopsis baltica Adult"
"Dinophysis acuta Adult","Tintinnopsis baltica Adult"
"Dinophysis norvegica Adult","Tintinnopsis baltica Adult"
"Licmophora Adult","Tintinnopsis baltica Adult"
"Navicula Adult","Tintinnopsis baltica Adult"
"Lyngbya epiphytica Adult","Tintinnopsis beroidea Adult"
