"resource","consumer"
"Nitzschia longissima","Tintinnopsis baltica"
"Pleurosigma","Tintinnopsis baltica"
"Ceratium lineatum","Tintinnopsis baltica"
"Ceratium longipes","Tintinnopsis baltica"
"Heterocapsa triquetra","Tintinnopsis baltica"
"Coccolithus","Tintinnopsis baltica"
"Bacteriastrum","Tintinnopsis baltica"
"Trichodesmium","Tintinnopsis baltica"
"Isochrysis","Tintinnopsis baltica"
"Alexandrium minutum","Tintinnopsis baltica"
"Prorocentrum compressum","Tintinnopsis baltica"
"Prorocentrum balticum","Tintinnopsis baltica"
"Prorocentrum concavum","Tintinnopsis baltica"
"Prorocentrum dentatum","Tintinnopsis baltica"
"Prorocentrum lima","Tintinnopsis baltica"
"Prorocentrum gracile","Tintinnopsis baltica"
"Prorocentrum maculosum","Tintinnopsis baltica"
"Prorocentrum mexicanum","Tintinnopsis baltica"
"Prorocentrum minimum","Tintinnopsis baltica"
"Prorocentrum sigmoides","Tintinnopsis baltica"
"Prorocentrum triestinum","Tintinnopsis baltica"
"Prorocentrum","Tintinnopsis baltica"
"Ceratium horridum","Tintinnopsis baltica"
"Tripos macroceros","Tintinnopsis baltica"
"Rhodomonas baltica","Tintinnopsis baltica"
"Skeletonema","Tintinnopsis baltica"
"Platymonas subcordiformis","Tintinnopsis baltica"
"Thalassiosira decipiens","Tintinnopsis baltica"
"Phaeodactylum tricornutum","Tintinnopsis baltica"
"Heterogloea","Tintinnopsis baltica"
"Isochrysis galbana","Tintinnopsis baltica"
"Phaeodactylum","Tintinnopsis baltica"
"Chlorella","Tintinnopsis baltica"
"Corethron hystrix","Tintinnopsis baltica"
"Biddulphia sinensis","Tintinnopsis baltica"
"Arthrospira platensis","Tintinnopsis baltica"
"Chaetoceros","Tintinnopsis baltica"
"Chaetoceros gracilis","Tintinnopsis baltica"
"Tetraselmis tetrathele","Tintinnopsis baltica"
"Tetraselmis chuii","Tintinnopsis baltica"
"Phormidium corium","Tintinnopsis baltica"
"Lyngbya epiphytica","Tintinnopsis baltica"
"Microcoleus chthonoplastes","Tintinnopsis baltica"
"Phormidium nigroviride","Tintinnopsis baltica"
"Chroococcus membraninus","Tintinnopsis baltica"
"Chroococcus varius","Tintinnopsis baltica"
"Porphyrosiphon ceylanicus","Tintinnopsis baltica"
"Oscillatoria princeps","Tintinnopsis baltica"
"Aphanocapsa marina","Tintinnopsis baltica"
"Tetraselmis gracilis","Tintinnopsis baltica"
"Coscinodiscus centralis","Tintinnopsis baltica"
"Pleurosigma normanii","Tintinnopsis baltica"
"Thalassiothrix fruaenfeldii","Tintinnopsis baltica"
"Nannochloris","Tintinnopsis baltica"
"Diacronema lutheri","Tintinnopsis baltica"
"Pyramimonas","Tintinnopsis baltica"
"Dunaliella tertiolecta","Tintinnopsis baltica"
"Tetraselmis suecica","Tintinnopsis baltica"
"Chaetoceros calcitrans","Tintinnopsis baltica"
"Chaetoceros socialis","Tintinnopsis baltica"
"Detritus","Tintinnopsis baltica"
"Leptocylindrus minimus","Tintinnopsis baltica"
"Leptocylindrus danicus","Tintinnopsis baltica"
"Pseudonitzschia pungens","Tintinnopsis baltica"
"Thalassionema nitzschioides","Tintinnopsis baltica"
"Ciliatea","Tintinnopsis baltica"
"Phaeocystis pouchetii","Tintinnopsis baltica"
"Distephanus speculum","Tintinnopsis baltica"
"Rhodomonas","Tintinnopsis baltica"
"Dinophysis acuminata","Tintinnopsis baltica"
"Dinophysis acuta","Tintinnopsis baltica"
"Dinophysis norvegica","Tintinnopsis baltica"
"Licmophora","Tintinnopsis baltica"
"Navicula","Tintinnopsis baltica"
"Lyngbya epiphytica","Tintinnopsis beroidea"
"Microcoleus chthonoplastes","Tintinnopsis beroidea"
"Phormidium nigroviride","Tintinnopsis beroidea"
"Chroococcus membraninus","Tintinnopsis beroidea"
"Chroococcus varius","Tintinnopsis beroidea"
"Porphyrosiphon ceylanicus","Tintinnopsis beroidea"
"Lyngbya majuscula","Tintinnopsis beroidea"
"Oscillatoria princeps","Tintinnopsis beroidea"
"Calothrix confervicola","Tintinnopsis beroidea"
"Aphanocapsa marina","Tintinnopsis beroidea"
"Tetraselmis gracilis","Tintinnopsis beroidea"
"Detritus","Tintinnopsis beroidea"
"Rhizosolenia","Tintinnopsis beroidea"
"Hemidiscus","Tintinnopsis beroidea"
"Phalacroma rotundatum","Tintinnopsis beroidea"
"Dinophysis","Tintinnopsis beroidea"
"Gymnodinium","Tintinnopsis beroidea"
"Ceratium lineatum","Tintinnopsis beroidea"
"Ceratium longipes","Tintinnopsis beroidea"
"Heterocapsa triquetra","Tintinnopsis beroidea"
"Peridinium","Tintinnopsis beroidea"
"Prorocentrum micans","Tintinnopsis beroidea"
"Ceratium furca","Tintinnopsis beroidea"
"Ceratium fusus","Tintinnopsis beroidea"
"Ceratium tripos","Tintinnopsis beroidea"
"Eutreptiella","Tintinnopsis beroidea"
