"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 4","Species 4",4,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 14","Species 14",14,"free-living",1,0
"Species 15","Species 15",15,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 17","Species 17",17,"free-living",1,0
"Species 18","Species 18",18,"free-living",1,0
"Species 19","Species 19",19,"free-living",1,0
"Species 20","Species 20",20,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 24","Species 24",24,"free-living",2,1
"Species 25","Species 25",25,"free-living",2,1
"Species 26","Species 26",26,"free-living",2,1
"Species 29","Species 29",29,"free-living",2,1
"Species 34","Species 34",34,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 36","Species 36",36,"free-living",2,1
"Species 37","Species 37",37,"free-living",2,1
"Species 38","Species 38",38,"free-living",2,1
"Species 39","Species 39",39,"free-living",2,1
"Species 40","Species 40",40,"free-living",2,1
"Species 41","Species 41",41,"free-living",2,1
"Species 42","Species 42",42,"free-living",2,1
"Species 43","Species 43",43,"free-living",2,1
"Species 45","Species 45",45,"free-living",2,1
"Species 49","Species 24",49,"free-living",2,1
"Species 50","Species 25",50,"free-living",2,1
"Species 51","Species 26",51,"free-living",2,1
"Species 54","Species 29",54,"free-living",2,1
"Species 59","Species 34",59,"free-living",2,1
"Species 60","Species 36",60,"free-living",2,1
"Species 61","Species 37",61,"free-living",2,1
"Species 62","Species 38",62,"free-living",2,1
"Species 63","Species 39",63,"free-living",2,1
"Species 64","Species 40",64,"free-living",2,1
