"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 24"
"Species 2","Species 25"
"Species 2","Species 26"
"Species 2","Species 29"
"Species 24","Species 34"
"Species 25","Species 34"
"Species 26","Species 34"
"Species 35","Species 34"
"Species 36","Species 34"
"Species 37","Species 34"
"Species 38","Species 34"
"Species 39","Species 34"
"Species 40","Species 34"
"Species 41","Species 34"
"Species 42","Species 34"
"Species 43","Species 34"
"Species 45","Species 34"
"Species 262","Species 34"
"Species 406","Species 34"
"Species 414","Species 34"
"Species 417","Species 34"
"Species 427","Species 34"
"Species 2","Species 35"
"Species 2","Species 36"
"Species 2","Species 37"
"Species 2","Species 38"
"Species 2","Species 39"
"Species 2","Species 40"
"Species 2","Species 41"
"Species 2","Species 42"
"Species 2","Species 43"
"Species 21","Species 43"
"Species 49","Species 43"
"Species 50","Species 43"
"Species 51","Species 43"
"Species 54","Species 43"
"Species 59","Species 43"
"Species 60","Species 43"
"Species 61","Species 43"
"Species 62","Species 43"
"Species 63","Species 43"
"Species 64","Species 43"
"Species 65","Species 43"
"Species 66","Species 43"
"Species 67","Species 43"
"Species 69","Species 43"
"Species 106","Species 43"
"Species 132","Species 43"
"Species 140","Species 43"
"Species 144","Species 43"
"Species 353","Species 43"
"Species 354","Species 43"
"Species 355","Species 43"
"Species 357","Species 43"
"Species 358","Species 43"
"Species 359","Species 43"
"Species 360","Species 43"
"Species 364","Species 43"
"Species 365","Species 43"
"Species 366","Species 43"
"Species 367","Species 43"
"Species 368","Species 43"
"Species 373","Species 43"
"Species 375","Species 43"
"Species 376","Species 43"
"Species 378","Species 43"
"Species 379","Species 43"
"Species 381","Species 43"
"Species 382","Species 43"
"Species 384","Species 43"
"Species 385","Species 43"
"Species 387","Species 43"
"Species 388","Species 43"
"Species 390","Species 43"
"Species 391","Species 43"
"Species 392","Species 43"
"Species 393","Species 43"
"Species 394","Species 43"
"Species 395","Species 43"
"Species 396","Species 43"
"Species 399","Species 43"
"Species 413","Species 43"
"Species 415","Species 43"
"Species 416","Species 43"
"Species 454","Species 43"
"Species 456","Species 43"
"Species 457","Species 43"
"Species 459","Species 43"
"Species 479","Species 43"
"Species 480","Species 43"
