"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 24"
"Species 2","Species 25"
"Species 2","Species 26"
"Species 2","Species 29"
"Species 24","Species 34"
"Species 25","Species 34"
"Species 26","Species 34"
"Species 35","Species 34"
"Species 36","Species 34"
"Species 37","Species 34"
"Species 38","Species 34"
"Species 39","Species 34"
"Species 40","Species 34"
"Species 41","Species 34"
"Species 42","Species 34"
"Species 43","Species 34"
"Species 45","Species 34"
"Species 216","Species 34"
"Species 233","Species 34"
"Species 246","Species 34"
"Species 250","Species 34"
"Species 260","Species 34"
"Species 2","Species 35"
"Species 2","Species 36"
"Species 2","Species 37"
"Species 2","Species 38"
"Species 2","Species 39"
"Species 2","Species 40"
"Species 2","Species 41"
"Species 2","Species 42"
"Species 2","Species 43"
"Species 21","Species 43"
"Species 24","Species 43"
"Species 25","Species 43"
"Species 26","Species 43"
"Species 29","Species 43"
"Species 34","Species 43"
"Species 36","Species 43"
"Species 37","Species 43"
"Species 38","Species 43"
"Species 39","Species 43"
"Species 40","Species 43"
"Species 41","Species 43"
"Species 42","Species 43"
"Species 43","Species 43"
"Species 45","Species 43"
"Species 66","Species 43"
"Species 92","Species 43"
"Species 100","Species 43"
"Species 104","Species 43"
"Species 233","Species 43"
"Species 234","Species 43"
"Species 235","Species 43"
"Species 237","Species 43"
"Species 238","Species 43"
"Species 239","Species 43"
"Species 240","Species 43"
"Species 244","Species 43"
"Species 245","Species 43"
"Species 246","Species 43"
"Species 247","Species 43"
"Species 248","Species 43"
"Species 254","Species 43"
"Species 256","Species 43"
"Species 257","Species 43"
"Species 259","Species 43"
"Species 260","Species 43"
"Species 262","Species 43"
"Species 263","Species 43"
"Species 265","Species 43"
"Species 266","Species 43"
"Species 268","Species 43"
"Species 269","Species 43"
"Species 271","Species 43"
"Species 272","Species 43"
"Species 273","Species 43"
"Species 274","Species 43"
"Species 275","Species 43"
"Species 276","Species 43"
"Species 277","Species 43"
"Species 279","Species 43"
"Species 283","Species 43"
"Species 287","Species 43"
"Species 288","Species 43"
"Species 290","Species 43"
"Species 293","Species 43"
"Species 294","Species 43"
"Species 310","Species 43"
"Species 2","Species 45"
"Species 21","Species 45"
