"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 5","Species 5",5,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 9","Species 9",9,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 25","Species 25",25,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 44","Species 44",44,"free-living",2,1
"Species 50","Species 25",50,"free-living",2,1
"Species 68","Species 44",68,"free-living",2,1
"Species 71","Species 47",71,"free-living",1,0
"Species 74","Species 50",74,"infectious",1,0
"Species 75","Species 51",75,"free-living",1,0
"Species 77","Species 53",77,"free-living",1,0
"Species 85","Species 61",85,"free-living",2,1
"Species 88","Species 64",88,"free-living",2,1
"Species 89","Species 65",89,"free-living",2,1
"Species 90","Species 66",90,"free-living",2,1
"Species 91","Species 67",91,"free-living",2,1
"Species 92","Species 68",92,"free-living",2,1
"Species 94","Species 70",94,"free-living",2,1
"Species 95","Species 71",95,"free-living",2,1
"Species 96","Species 72",96,"free-living",2,1
"Species 97","Species 73",97,"free-living",2,1
"Species 101","Species 61",101,"free-living",2,1
"Species 104","Species 64",104,"free-living",2,1
"Species 105","Species 65",105,"free-living",2,1
"Species 106","Species 66",106,"free-living",2,1
"Species 107","Species 67",107,"free-living",2,1
"Species 108","Species 68",108,"free-living",2,1
"Species 110","Species 70",110,"free-living",2,1
"Species 111","Species 71",111,"free-living",2,1
"Species 112","Species 72",112,"free-living",2,1
"Species 113","Species 73",113,"free-living",2,1
"Species 115","Species 75",115,"free-living",1,0
