"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 5","Species 5",5,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 9","Species 9",9,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 25","Species 25",37.5,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 44","Species 44",56,"free-living",2,1
"Species 47","Species 47",71,"free-living",1,0
"Species 50","Species 50",74,"infectious",1,0
"Species 51","Species 51",75,"free-living",1,0
"Species 53","Species 53",77,"free-living",1,0
"Species 61","Species 61",93,"free-living",2,1
"Species 64","Species 64",96,"free-living",2,1
"Species 65","Species 65",97,"free-living",2,1
"Species 66","Species 66",98,"free-living",2,1
"Species 67","Species 67",99,"free-living",2,1
"Species 68","Species 68",100,"free-living",2,1
"Species 70","Species 70",102,"free-living",2,1
"Species 71","Species 71",103,"free-living",2,1
"Species 72","Species 72",104,"free-living",2,1
"Species 73","Species 73",105,"free-living",2,1
"Species 75","Species 75",115,"free-living",1,0
"Species 76","Species 76",116,"free-living",1,0
"Species 79","Species 79",119,"free-living",1,0
"Species 82","Species 82",122,"free-living",1,0
"Species 86","Species 86",138.5,"free-living",2,1
"Species 87","Species 87",127,"free-living",1,0
"Species 89","Species 89",129,"free-living",1,0
"Species 90","Species 90",141,"free-living",2,1
"Species 92","Species 92",132,"free-living",1,0
"Species 93","Species 93",147,"free-living",3,1
"Species 94","Species 94",148,"free-living",3,1
"Species 99","Species 99",139,"free-living",1,0
"Species 100","Species 100",140,"free-living",1,0
