"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 4","Species 4",4,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 9","Species 9",9,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 14","Species 14",14,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 17","Species 17",17,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 22","Species 22",22,"free-living",2,1
"Species 23","Species 23",23,"free-living",2,1
"Species 26","Species 26",26,"free-living",2,1
"Species 27","Species 27",27,"free-living",2,1
"Species 28","Species 28",28,"free-living",2,1
"Species 29","Species 29",29,"free-living",2,1
"Species 30","Species 30",30,"free-living",2,1
"Species 31","Species 31",31,"free-living",2,1
"Species 32","Species 32",32,"free-living",2,1
"Species 33","Species 33",33,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 45","Species 45",45,"free-living",2,1
"Species 46","Species 46",46,"free-living",2,1
"Species 47","Species 22",47,"free-living",2,1
"Species 48","Species 23",48,"free-living",2,1
"Species 51","Species 26",51,"free-living",2,1
"Species 52","Species 27",52,"free-living",2,1
"Species 53","Species 28",53,"free-living",2,1
"Species 54","Species 29",54,"free-living",2,1
"Species 55","Species 30",55,"free-living",2,1
"Species 56","Species 31",56,"free-living",2,1
"Species 57","Species 32",57,"free-living",2,1
"Species 58","Species 33",58,"free-living",2,1
"Species 69","Species 45",69,"free-living",2,1
"Species 70","Species 46",70,"free-living",2,1
"Species 71","Species 47",71,"free-living",1,0
"Species 72","Species 48",72,"free-living",1,0
"Species 73","Species 49",73,"free-living",1,0
