"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 22"
"Species 2","Species 23"
"Species 2","Species 26"
"Species 2","Species 27"
"Species 2","Species 28"
"Species 2","Species 29"
"Species 2","Species 30"
"Species 2","Species 31"
"Species 2","Species 32"
"Species 2","Species 33"
"Species 2","Species 35"
"Species 2","Species 45"
"Species 21","Species 45"
"Species 47","Species 45"
"Species 48","Species 45"
"Species 51","Species 45"
"Species 52","Species 45"
"Species 53","Species 45"
"Species 54","Species 45"
"Species 55","Species 45"
"Species 56","Species 45"
"Species 57","Species 45"
"Species 58","Species 45"
"Species 69","Species 45"
"Species 70","Species 45"
"Species 99","Species 45"
"Species 100","Species 45"
"Species 101","Species 45"
"Species 102","Species 45"
"Species 103","Species 45"
"Species 104","Species 45"
"Species 108","Species 45"
"Species 109","Species 45"
"Species 111","Species 45"
"Species 113","Species 45"
"Species 114","Species 45"
"Species 132","Species 45"
"Species 140","Species 45"
"Species 144","Species 45"
"Species 353","Species 45"
"Species 354","Species 45"
"Species 355","Species 45"
"Species 356","Species 45"
"Species 357","Species 45"
"Species 358","Species 45"
"Species 359","Species 45"
"Species 361","Species 45"
"Species 362","Species 45"
"Species 363","Species 45"
"Species 364","Species 45"
"Species 365","Species 45"
"Species 366","Species 45"
"Species 367","Species 45"
"Species 368","Species 45"
"Species 371","Species 45"
"Species 372","Species 45"
"Species 377","Species 45"
"Species 378","Species 45"
"Species 379","Species 45"
"Species 380","Species 45"
"Species 383","Species 45"
"Species 384","Species 45"
"Species 385","Species 45"
"Species 386","Species 45"
"Species 387","Species 45"
"Species 388","Species 45"
"Species 389","Species 45"
"Species 390","Species 45"
"Species 391","Species 45"
"Species 392","Species 45"
"Species 394","Species 45"
"Species 395","Species 45"
"Species 396","Species 45"
"Species 397","Species 45"
"Species 398","Species 45"
"Species 413","Species 45"
"Species 415","Species 45"
"Species 416","Species 45"
"Species 454","Species 45"
"Species 455","Species 45"
"Species 456","Species 45"
"Species 457","Species 45"
"Species 458","Species 45"
"Species 459","Species 45"
"Species 479","Species 45"
"Species 497","Species 45"
"Species 499","Species 45"
"Species 2","Species 46"
"Species 21","Species 46"
"Species 47","Species 46"
