"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 22"
"Species 2","Species 23"
"Species 2","Species 26"
"Species 2","Species 27"
"Species 2","Species 28"
"Species 2","Species 29"
"Species 2","Species 30"
"Species 2","Species 31"
"Species 2","Species 32"
"Species 2","Species 33"
"Species 2","Species 35"
"Species 2","Species 45"
"Species 21","Species 45"
"Species 22","Species 45"
"Species 23","Species 45"
"Species 26","Species 45"
"Species 27","Species 45"
"Species 28","Species 45"
"Species 29","Species 45"
"Species 30","Species 45"
"Species 31","Species 45"
"Species 32","Species 45"
"Species 33","Species 45"
"Species 45","Species 45"
"Species 46","Species 45"
"Species 59","Species 45"
"Species 60","Species 45"
"Species 61","Species 45"
"Species 62","Species 45"
"Species 63","Species 45"
"Species 64","Species 45"
"Species 68","Species 45"
"Species 69","Species 45"
"Species 71","Species 45"
"Species 73","Species 45"
"Species 74","Species 45"
"Species 92","Species 45"
"Species 100","Species 45"
"Species 104","Species 45"
"Species 233","Species 45"
"Species 234","Species 45"
"Species 235","Species 45"
"Species 236","Species 45"
"Species 237","Species 45"
"Species 238","Species 45"
"Species 239","Species 45"
"Species 281","Species 45"
"Species 242","Species 45"
"Species 243","Species 45"
"Species 244","Species 45"
"Species 245","Species 45"
"Species 246","Species 45"
"Species 247","Species 45"
"Species 248","Species 45"
"Species 252","Species 45"
"Species 253","Species 45"
"Species 258","Species 45"
"Species 259","Species 45"
"Species 260","Species 45"
"Species 261","Species 45"
"Species 264","Species 45"
"Species 265","Species 45"
"Species 266","Species 45"
"Species 267","Species 45"
"Species 268","Species 45"
"Species 269","Species 45"
"Species 270","Species 45"
"Species 271","Species 45"
"Species 272","Species 45"
"Species 273","Species 45"
"Species 275","Species 45"
"Species 276","Species 45"
"Species 277","Species 45"
"Species 282","Species 45"
"Species 278","Species 45"
"Species 283","Species 45"
"Species 286","Species 45"
"Species 287","Species 45"
"Species 288","Species 45"
"Species 289","Species 45"
"Species 290","Species 45"
"Species 293","Species 45"
"Species 310","Species 45"
"Species 313","Species 45"
"Species 2","Species 46"
"Species 21","Species 46"
"Species 22","Species 46"
"Species 23","Species 46"
"Species 26","Species 46"
"Species 27","Species 46"
