"resource","consumer"
"Species 1","Species 7"
"Species 1","Species 8"
"Species 1","Species 9"
"Species 1","Species 10"
"Species 1","Species 13"
"Species 1","Species 14"
"Species 1","Species 15"
"Species 1","Species 18"
"Species 1","Species 19"
"Species 1","Species 21"
"Species 1","Species 24"
"Species 1","Species 26"
"Species 1","Species 32"
"Species 1","Species 33"
"Species 1","Species 40"
"Species 1","Species 42"
"Species 1","Species 45"
"Species 1","Species 58"
"Species 1","Species 60"
"Species 1","Species 62"
"Species 2","Species 7"
"Species 2","Species 8"
"Species 2","Species 9"
"Species 2","Species 12"
"Species 2","Species 24"
"Species 2","Species 26"
"Species 2","Species 30"
"Species 2","Species 31"
"Species 2","Species 32"
"Species 2","Species 33"
"Species 2","Species 40"
"Species 2","Species 45"
"Species 2","Species 58"
"Species 2","Species 60"
"Species 2","Species 62"
"Species 2","Species 70"
"Species 2","Species 71"
"Species 3","Species 6"
"Species 3","Species 17"
"Species 3","Species 18"
"Species 3","Species 19"
"Species 3","Species 58"
"Species 3","Species 60"
"Species 3","Species 62"
"Species 4","Species 6"
"Species 4","Species 7"
"Species 4","Species 9"
"Species 4","Species 13"
"Species 4","Species 14"
"Species 4","Species 15"
"Species 4","Species 21"
"Species 4","Species 22"
"Species 4","Species 23"
"Species 4","Species 24"
"Species 4","Species 26"
"Species 4","Species 40"
"Species 4","Species 42"
"Species 4","Species 45"
"Species 4","Species 58"
"Species 4","Species 60"
"Species 4","Species 62"
"Species 4","Species 67"
"Species 5","Species 13"
"Species 5","Species 14"
"Species 5","Species 21"
"Species 5","Species 22"
"Species 5","Species 23"
"Species 5","Species 24"
"Species 5","Species 26"
"Species 5","Species 45"
"Species 5","Species 64"
"Species 5","Species 66"
"Species 5","Species 67"
"Species 5","Species 71"
"Species 6","Species 6"
"Species 6","Species 7"
"Species 6","Species 16"
"Species 6","Species 17"
"Species 6","Species 18"
"Species 6","Species 19"
"Species 6","Species 26"
"Species 6","Species 28"
"Species 6","Species 29"
"Species 6","Species 48"
"Species 6","Species 50"
"Species 6","Species 52"
"Species 6","Species 54"
"Species 6","Species 55"
"Species 6","Species 56"
"Species 6","Species 67"
"Species 6","Species 102"
"Species 7","Species 6"
"Species 7","Species 7"
"Species 7","Species 9"
"Species 7","Species 12"
"Species 7","Species 16"
"Species 7","Species 24"
"Species 7","Species 25"
"Species 7","Species 26"
"Species 7","Species 27"
