"resource","consumer"
"Species 1","Species 7"
"Species 1","Species 8"
"Species 1","Species 9"
"Species 1","Species 10"
"Species 1","Species 13"
"Species 1","Species 14"
"Species 1","Species 15"
"Species 1","Species 18"
"Species 1","Species 19"
"Species 1","Species 20"
"Species 1","Species 22"
"Species 1","Species 23"
"Species 1","Species 26"
"Species 1","Species 29"
"Species 1","Species 30"
"Species 1","Species 31"
"Species 1","Species 37"
"Species 1","Species 38"
"Species 1","Species 39"
"Species 2","Species 7"
"Species 2","Species 8"
"Species 2","Species 9"
"Species 2","Species 12"
"Species 2","Species 22"
"Species 2","Species 23"
"Species 2","Species 25"
"Species 2","Species 26"
"Species 2","Species 29"
"Species 2","Species 31"
"Species 2","Species 37"
"Species 2","Species 38"
"Species 2","Species 39"
"Species 2","Species 47"
"Species 2","Species 48"
"Species 3","Species 6"
"Species 3","Species 17"
"Species 3","Species 18"
"Species 3","Species 19"
"Species 3","Species 37"
"Species 3","Species 38"
"Species 3","Species 39"
"Species 4","Species 6"
"Species 4","Species 7"
"Species 4","Species 9"
"Species 4","Species 13"
"Species 4","Species 14"
"Species 4","Species 15"
"Species 4","Species 20"
"Species 4","Species 21"
"Species 4","Species 22"
"Species 4","Species 23"
"Species 4","Species 29"
"Species 4","Species 30"
"Species 4","Species 31"
"Species 4","Species 37"
"Species 4","Species 38"
"Species 4","Species 39"
"Species 4","Species 44"
"Species 5","Species 13"
"Species 5","Species 14"
"Species 5","Species 20"
"Species 5","Species 21"
"Species 5","Species 22"
"Species 5","Species 23"
"Species 5","Species 31"
"Species 5","Species 41"
"Species 5","Species 43"
"Species 5","Species 44"
"Species 5","Species 48"
"Species 6","Species 6"
"Species 6","Species 7"
"Species 6","Species 16"
"Species 6","Species 17"
"Species 6","Species 18"
"Species 6","Species 19"
"Species 6","Species 23"
"Species 6","Species 24"
"Species 6","Species 32"
"Species 6","Species 33"
"Species 6","Species 34"
"Species 6","Species 35"
"Species 6","Species 36"
"Species 6","Species 44"
"Species 6","Species 60"
"Species 7","Species 6"
"Species 7","Species 7"
"Species 7","Species 9"
"Species 7","Species 12"
"Species 7","Species 16"
"Species 7","Species 22"
"Species 7","Species 23"
"Species 7","Species 29"
"Species 7","Species 30"
"Species 7","Species 32"
"Species 7","Species 33"
"Species 7","Species 34"
"Species 7","Species 35"
"Species 7","Species 36"
"Species 7","Species 44"
"Species 8","Species 6"
