"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",36849,3301,177,70548,69148,116,116,1750,1664,60,0,2,58
"2",37407,3291,141,68946,69588,124,108,1809,1669,49,0,2,56
"3",36660,3246,162,68822,70304,98,84,1605,1710,55,0,3,58
"4",36793,3247,165,69810,69200,102,92,1718,1692,53,0,0,60
"5",36431,3284,150,69938,69952,126,100,1647,1630,53,0,3,44
"6",36634,3304,183,69496,69440,110,76,1677,1691,63,0,2,56
"7",36663,3405,198,70686,70448,132,96,1905,1576,72,0,6,60
"8",36453,3284,135,70548,69212,94,122,1541,1743,46,0,1,50
"9",37061,3348,123,68728,69972,114,132,1697,1782,43,0,2,62
"10",36673,3295,135,70192,69502,94,140,1623,1831,48,0,3,48
