"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",47738,5988,3900,57780,58868,2112,2154,18970,19305,1756,234,687,6840
"2",47749,5958,3681,58792,58222,2056,2040,18268,18019,1598,186,600,6130
"3",47531,6028,3834,57916,58528,2138,2062,18075,18217,1697,198,640,6170
"4",47653,6083,3759,57194,59914,2128,2236,18582,19456,1719,228,679,6818
"5",47498,6048,3690,58390,58020,2156,2180,18727,18603,1700,240,688,6574
"6",47670,5929,3918,58206,58302,2114,2136,18818,19014,1752,222,677,6710
"7",47132,5925,3696,58228,58668,1922,2106,17995,18440,1625,186,595,6218
"8",47654,5879,3726,58878,57540,2048,2048,18831,18678,1683,198,631,6678
"9",47560,5966,3708,57814,58606,2080,2068,17657,18014,1642,270,668,5996
"10",47823,5970,3933,59004,57416,2060,2046,18304,17617,1712,264,680,6042
