"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",37849,3750,219,71716,73032,142,182,2512,2474,77,0,6,104
"2",38554,3733,267,71418,70908,160,166,2473,2651,91,0,2,110
"3",37606,3704,219,73042,71006,162,172,2553,2300,72,0,1,82
"4",38502,3891,267,72136,71260,240,194,2602,2501,102,0,13,118
"5",38233,3659,264,70166,73232,140,158,2255,2613,89,0,3,98
"6",38074,3752,327,71902,71082,210,164,2788,2258,113,0,5,118
"7",38317,3849,249,71702,71308,186,200,2490,2621,88,0,5,122
"8",38041,3746,231,70248,72444,104,212,2130,2831,80,0,5,106
"9",38354,3699,249,71468,71640,190,172,2750,2397,86,0,3,98
"10",37702,3674,333,72128,71592,158,180,2488,2536,114,0,9,142
