"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",49730,7063,4269,62328,61862,2356,2346,18570,18141,1894,240,715,6108
"2",49343,6936,4005,63316,62852,2286,2296,18731,18553,1773,174,640,6246
"3",49635,6948,4089,61464,62736,2374,2254,18112,18353,1796,228,666,5820
"4",49480,6797,3885,61642,62712,2310,2286,18912,19168,1798,240,700,6490
"5",49275,6965,4254,62894,61652,2308,2260,18359,18209,1865,258,692,5992
"6",49697,7009,4173,62614,62818,2210,2360,18607,19126,1831,186,640,6236
"7",49259,6855,4059,62970,62050,2314,2224,18945,18706,1826,228,687,6344
"8",49359,6858,4113,61806,61930,2224,2304,17835,18165,1798,228,666,5740
"9",49326,6997,4035,62042,62792,2336,2380,18514,19126,1833,252,707,6380
"10",50127,7017,4155,61188,62972,2350,2218,18223,18304,1792,234,663,5918
