"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",67141,6081,258,130892,127444,158,156,2577,2573,91,0,5,72
"2",67813,6031,195,129980,128830,196,116,2878,2288,66,0,1,82
"3",67402,6003,258,128118,129284,154,142,2519,2495,87,0,1,64
"4",67641,6184,249,128832,129038,162,142,2635,2239,83,0,1,46
"5",68512,5917,240,127834,126896,158,136,2427,2440,79,0,4,62
"6",67552,6122,285,128126,130090,140,180,2390,2650,102,0,8,62
"7",66660,5960,252,129590,128818,150,112,2519,2121,88,0,7,60
"8",67001,6094,252,129884,128590,128,146,2406,2406,86,0,2,74
"9",67917,6190,234,128020,129162,176,130,2562,2375,78,0,2,64
"10",67509,6027,249,127774,129806,176,164,2600,2489,86,0,3,66
