"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",94213,14055,5895,129240,130836,3486,3498,27621,27654,2411,162,710,6736
"2",93577,14370,5880,133570,130374,3622,3546,27996,27672,2449,198,737,6900
"3",93588,13993,5910,131028,130492,3462,3476,27608,28121,2459,186,743,6900
"4",94281,14007,6237,131782,132190,3504,3476,28964,28434,2586,144,745,7468
"5",94313,14251,5979,129620,132552,3390,3500,26744,27402,2428,180,723,6512
"6",93310,13816,5991,130964,131726,3444,3498,28469,28775,2579,246,798,7222
"7",93242,14163,5943,134804,129022,3602,3474,29176,27342,2455,156,725,7178
"8",92892,14078,5991,132950,130096,3418,3386,28167,27426,2507,192,725,6756
"9",93417,14133,5823,132036,131204,3600,3522,28806,28299,2521,162,753,7200
"10",93379,13986,6144,131378,131302,3740,3428,28934,27925,2592,210,797,7214
