"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",19860,4275,1188,31862,31854,736,750,4312,4502,457,0,90,692
"2",19907,4331,1173,31268,32398,782,752,4526,4532,482,18,111,786
"3",20087,4318,1059,31576,32024,792,750,4333,4571,408,18,95,752
"4",19989,4306,1029,31694,31970,730,704,4502,4445,418,6,95,792
"5",20362,4244,1152,31664,30946,742,726,4516,4431,460,12,106,770
"6",20415,4350,1347,31868,31210,774,710,4418,4283,514,24,106,722
"7",19954,4282,1068,31676,31356,788,724,4499,4185,423,18,103,724
"8",20114,4310,1128,31162,32038,660,620,4206,3996,395,6,73,654
"9",19636,4246,1170,32388,31636,700,676,4539,4222,451,6,87,738
"10",19732,4300,999,32832,31154,632,776,4113,4321,381,6,78,632
