"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",11312,3639,1560,15740,15730,876,824,3253,3120,602,12,148,704
"2",11546,3922,1623,15960,15844,1044,902,3502,3214,669,30,191,840
"3",11329,3733,1641,15774,15646,946,890,3445,3352,689,54,197,812
"4",11380,3752,1683,15752,15668,980,886,3354,3330,696,36,205,858
"5",11168,3769,1683,16276,15860,846,1026,3311,3497,691,72,215,878
"6",11366,3869,1752,15712,16244,960,912,3307,3296,714,18,186,758
"7",11338,3821,1641,16162,15546,1032,982,3626,3493,709,42,214,922
"8",11388,3803,1422,15912,15932,884,908,3352,3319,574,24,152,806
"9",11193,3793,1647,15946,16264,910,950,3254,3429,671,36,178,780
"10",11326,3799,1626,15538,16402,818,1018,3065,3604,637,18,164,800
