"node","description"
"Phytoplankton",""
"Bacteria attached to suspended particles",""
"Sediment bacteria",""
"Benthic algae",""
"Free bacteria in water column",""
"Heterotrophic microflagellates",""
"Microzooplankton",""
"Zooplankton",""
"Ctenophores",""
"Chrysaora quinquecirrha","Sea nettles"
"Other suspension feeders",""
"Mya",""
"Crassostrea virginica","Oysters"
"Other polychaetes",""
"Nereis",""
"Macoma spp",""
"Meiofauna",""
"Crustacean deposit feeders",""
"Callinectes sapidus","Blue crabs"
"Fish larvae",""
"Clupeidae","Alosa pseudoharengus (alewife) and herring"
"Anchoa mitchilli","Bay anchovy"
"Brevoortia tyrannus","Menhaden"
"Alosa sapidissima","Shad"
"Micropogonius undulatus","Atlantic croaker"
"Trinectes maculatus","Hog choker"
"Leiostomus xanthurus","Spot"
"Morone americana","White perch"
"Arius felis","Catfish"
"Pomatomus saltatrix","Blue fish"
"Cynoscion aregalis","Weak fish"
"Paralichthys dentatus","Summer flounder"
"Morone saxatilis","Striped bass"
