"resource","consumer"
"Species_3","Species_1"
"Species_11","Species_1"
"Species_12","Species_1"
"Species_15","Species_1"
"Species_37","Species_1"
"Species_38","Species_1"
"Species_40","Species_1"
"Species_63","Species_1"
"Species_68","Species_1"
"Species_70","Species_1"
"Species_71","Species_1"
"Species_72","Species_1"
"Species_73","Species_1"
"Species_75","Species_1"
"Species_80","Species_1"
"Species_86","Species_1"
"Species_91","Species_1"
"Species_92","Species_1"
"Species_94","Species_1"
"Species_97","Species_1"
"Species_99","Species_1"
"Species_108","Species_1"
"Species_113","Species_1"
"Species_123","Species_1"
"Species_124","Species_1"
"Species_125","Species_1"
"Species_126","Species_1"
"Species_132","Species_1"
"Species_133","Species_1"
"Species_134","Species_1"
"Species_135","Species_1"
"Species_136","Species_1"
"Species_200","Species_1"
"Species_3","Species_2"
"Species_11","Species_2"
"Species_12","Species_2"
"Species_17","Species_2"
"Species_18","Species_2"
"Species_22","Species_2"
"Species_23","Species_2"
"Species_29","Species_2"
"Species_30","Species_2"
"Species_39","Species_2"
"Species_41","Species_2"
"Species_42","Species_2"
"Species_43","Species_2"
"Species_44","Species_2"
"Species_45","Species_2"
"Species_46","Species_2"
"Species_47","Species_2"
"Species_48","Species_2"
"Species_73","Species_2"
"Species_85","Species_2"
"Species_92","Species_2"
"Species_97","Species_2"
"Species_113","Species_2"
"Species_136","Species_2"
"Species_19","Species_3"
"Species_20","Species_3"
"Species_23","Species_3"
"Species_26","Species_3"
"Species_28","Species_3"
"Species_29","Species_3"
"Species_30","Species_3"
"Species_67","Species_3"
"Species_33","Species_4"
"Species_34","Species_4"
"Species_36","Species_4"
"Species_51","Species_4"
"Species_52","Species_4"
"Species_54","Species_4"
"Species_72","Species_4"
"Species_74","Species_4"
"Species_75","Species_4"
"Species_79","Species_4"
"Species_81","Species_4"
"Species_82","Species_4"
"Species_83","Species_4"
"Species_84","Species_4"
"Species_86","Species_4"
"Species_90","Species_4"
"Species_91","Species_4"
"Species_93","Species_4"
"Species_94","Species_4"
"Species_96","Species_4"
"Species_98","Species_4"
"Species_99","Species_4"
"Species_100","Species_4"
"Species_101","Species_4"
"Species_102","Species_4"
"Species_103","Species_4"
"Species_105","Species_4"
"Species_106","Species_4"
"Species_107","Species_4"
"Species_108","Species_4"
"Species_109","Species_4"
"Species_110","Species_4"
"Species_111","Species_4"
"Species_112","Species_4"
"Species_114","Species_4"
"Species_115","Species_4"
"Species_116","Species_4"
"Species_117","Species_4"
"Species_118","Species_4"
"Species_119","Species_4"
"Species_123","Species_4"
"Species_124","Species_4"
"Species_125","Species_4"
"Species_126","Species_4"
"Species_127","Species_4"
"Species_128","Species_4"
"Species_129","Species_4"
"Species_130","Species_4"
"Species_131","Species_4"
"Species_132","Species_4"
"Species_133","Species_4"
"Species_134","Species_4"
"Species_135","Species_4"
"Species_203","Species_4"
"Species_230","Species_4"
"Species_238","Species_4"
"Species_33","Species_5"
"Species_34","Species_5"
"Species_36","Species_5"
"Species_37","Species_5"
"Species_51","Species_5"
"Species_54","Species_5"
"Species_72","Species_5"
"Species_74","Species_5"
"Species_75","Species_5"
"Species_79","Species_5"
"Species_81","Species_5"
"Species_82","Species_5"
"Species_83","Species_5"
"Species_84","Species_5"
"Species_86","Species_5"
"Species_90","Species_5"
"Species_91","Species_5"
"Species_93","Species_5"
"Species_94","Species_5"
"Species_96","Species_5"
"Species_98","Species_5"
"Species_99","Species_5"
"Species_100","Species_5"
"Species_101","Species_5"
"Species_102","Species_5"
"Species_103","Species_5"
"Species_105","Species_5"
"Species_106","Species_5"
"Species_107","Species_5"
"Species_108","Species_5"
"Species_109","Species_5"
"Species_110","Species_5"
"Species_111","Species_5"
"Species_112","Species_5"
"Species_114","Species_5"
"Species_115","Species_5"
