"resource","consumer"
"Anguilla anguilla","Lutra lutra"
"Pholis gunnellus","Lutra lutra"
"Zoarces viviparus","Lutra lutra"
"Myoxocephalus scorpius","Lutra lutra"
"Salmo trutta","Lutra lutra"
"Anguilla anguilla","Phalacrocorax carbo"
"Pollachius virens","Phalacrocorax carbo"
"Ammodytes tobianus","Phalacrocorax carbo"
"Zoarces viviparus","Phalacrocorax carbo"
"Pomatoschistus microps","Phalacrocorax carbo"
"Platichthys flesus","Phalacrocorax carbo"
"Salmo trutta","Phalacrocorax carbo"
"Anguilla anguilla","Ardea cinerea"
"Pollachius virens","Ardea cinerea"
"Ammodytes tobianus","Ardea cinerea"
"Pholis gunnellus","Ardea cinerea"
"Zoarces viviparus","Ardea cinerea"
"Pomatoschistus microps","Ardea cinerea"
"Myoxocephalus scorpius","Ardea cinerea"
"Platichthys flesus","Ardea cinerea"
"Salmo trutta","Ardea cinerea"
"Carcinus maenas","Ardea cinerea"
"Enteromorpha","Cygnus olor"
"Carcinus maenas","Tadorna tadorna"
"Hydrobia ulvae","Tadorna tadorna"
"Ostracods","Tadorna tadorna"
"Corophium volutator","Tadorna tadorna"
"Nereis diversicolor","Tadorna tadorna"
"Littorina littorea","Tadorna tadorna"
"Macoma balthica","Tadorna tadorna"
"Mytilus edulis","Tadorna tadorna"
"Cerastoderma edule","Tadorna tadorna"
"Acarina","Tadorna tadorna"
"Enteromorpha","Tadorna tadorna"
"Enteromorpha","Anas penelope"
"Crangon crangon","Somateria mollissima"
"Carcinus maenas","Somateria mollissima"
"Littorina littorea","Somateria mollissima"
"Mytilus edulis","Somateria mollissima"
"Crangon crangon","Somateria mollissima (juvenile)"
"Hydrobia ulvae","Somateria mollissima (juvenile)"
"Corophium volutator","Somateria mollissima (juvenile)"
"Gammarus spp.","Somateria mollissima (juvenile)"
"Nereis diversicolor","Somateria mollissima (juvenile)"
"Littorina littorea","Somateria mollissima (juvenile)"
"Macoma balthica","Somateria mollissima (juvenile)"
"Mytilus edulis","Somateria mollissima (juvenile)"
