"resource","consumer"
"ACARTIA_SPP","ACARTIA_SPP"
"AUTOTHROPH_FLAGELLAT","ACARTIA_SPP"
"DIATOM","ACARTIA_SPP"
"HETEROTROPH_FLAGELLAT","ACARTIA_SPP"
"MIXOTROPH_FLAGELLATES","ACARTIA_SPP"
"PROTOZOOPLANKTON","ACARTIA_SPP"
"AUTOTHROPH_FLAGELLAT","ACTINIARIA_G_SP"
"DIATOM","ACTINIARIA_G_SP"
"GAMMARIDAE_INDET","ACTINIARIA_G_SP"
"HETEROTROPH_FLAGELLAT","ACTINIARIA_G_SP"
"MACROALGAE","ACTINIARIA_G_SP"
"POLYCHAETA","ACTINIARIA_G_SP"
"CALANUS_FINMARCHICUS","AGLANTHA_DIGITALE"
"OITHONA_SPINIROSTRIS/ATLANTICA","AGLANTHA_DIGITALE"
"ONCAEA_BOREALIS","AGLANTHA_DIGITALE"
"LUMBRICLYMENE_MINOR","AGLAOPHAMUS_MALMGRENI"
"LUMBRINERIS_SP","AGLAOPHAMUS_MALMGRENI"
"POLYCHAETA","AGLAOPHAMUS_MALMGRENI"
"POLYNOIDAE_INDET","AGLAOPHAMUS_MALMGRENI"
"CHLAMYS_ISLANDICA","AGONUS_CATAPHRACTUS"
"GAMMARIDAE_INDET","AGONUS_CATAPHRACTUS"
"OPHIOPHOLIS_ACULEATA","AGONUS_CATAPHRACTUS"
"OPHIACANTHA_BIDENTATA","AGONUS_CATAPHRACTUS"
"OPHIOCTEN_SERICEUM","AGONUS_CATAPHRACTUS"
"OPHIURA_SP","AGONUS_CATAPHRACTUS"
"OSTRACODA_INDET","AGONUS_CATAPHRACTUS"
"PAGURUS_SP","AGONUS_CATAPHRACTUS"
"POLYCHAETA","AGONUS_CATAPHRACTUS"
"THEMISTO_ABYSSORUM","AGONUS_CATAPHRACTUS"
"THEMISTO_LIBELLULA","AGONUS_CATAPHRACTUS"
"THYSANOESSA_INERMIS","AGONUS_CATAPHRACTUS"
"THYSANOESSA_LONGICAUDATA","AGONUS_CATAPHRACTUS"
"ACARTIA_SPP","ALLE_ALLE"
"APHERUSA_GLACIALIS","ALLE_ALLE"
"BENTHOS_LARVAE","ALLE_ALLE"
"CALANUS_FINMARCHICUS","ALLE_ALLE"
"CALANUS_GLACIALIS","ALLE_ALLE"
"CALANUS_HYPERBOREUS","ALLE_ALLE"
"CLIONE_LIMACINA","ALLE_ALLE"
"FISH_LARVAE","ALLE_ALLE"
"FRITILLARIA_BOREALIS","ALLE_ALLE"
"GAMMARUS_WILKITZKII","ALLE_ALLE"
"LIMACINA_HELICINA","ALLE_ALLE"
"LIMACINA_RETROVERSA","ALLE_ALLE"
"MEGANYCTIPHANES_NORVEGICA","ALLE_ALLE"
"METRIDIA_LONGA","ALLE_ALLE"
"MICROCALANUS_SPP","ALLE_ALLE"
"OIKOPLEURA_DIOICA","ALLE_ALLE"
"OIKOPLEURA_SPP","ALLE_ALLE"
"OIKOPLEURA_VANHOEFFENI","ALLE_ALLE"
"OITHONA_SPINIROSTRIS/ATLANTICA","ALLE_ALLE"
"OITHONA_SIMILIS","ALLE_ALLE"
"ONCAEA_BOREALIS","ALLE_ALLE"
"OSTRACODA_INDET","ALLE_ALLE"
"PAREUCHAETA_NORVEGICA","ALLE_ALLE"
"PAREUCHAETA_SPP","ALLE_ALLE"
"PSEUDOCALANUS_SPP","ALLE_ALLE"
"SABINEA_SP","ALLE_ALLE"
"SAGITTA_SPP","ALLE_ALLE"
"THEMISTO_ABYSSORUM","ALLE_ALLE"
"THEMISTO_LIBELLULA","ALLE_ALLE"
"THYSANOESSA_INERMIS","ALLE_ALLE"
"THYSANOESSA_LONGICAUDATA","ALLE_ALLE"
"THYSANOESSA_RASCHII","ALLE_ALLE"
"ARCTOZENUS_RISSO","AMBLYRAJA_HYPERBOREA"
"CLUPEA_HARENGUS","AMBLYRAJA_HYPERBOREA"
"COTTUNCULUS_MICROPS","AMBLYRAJA_HYPERBOREA"
"FORAMINIFERA","AMBLYRAJA_HYPERBOREA"
"GADUS_MORHUA","AMBLYRAJA_HYPERBOREA"
"HIPPOGLOSSOIDES_PLATESSOIDES","AMBLYRAJA_HYPERBOREA"
"LYCODES_ESMARKII","AMBLYRAJA_HYPERBOREA"
"LYCODES_EUDIPLEUROSTICTUS","AMBLYRAJA_HYPERBOREA"
"LYCODES_GRACILIS","AMBLYRAJA_HYPERBOREA"
"LYCENCHELYS_KOLTHOFFI","AMBLYRAJA_HYPERBOREA"
"LYCODES_PALLIDUS","AMBLYRAJA_HYPERBOREA"
"LYCODES_RETICULATUS","AMBLYRAJA_HYPERBOREA"
"LYCODES_ROSSI","AMBLYRAJA_HYPERBOREA"
"LYCODES_SEMINUDUS","AMBLYRAJA_HYPERBOREA"
"MACROURUS_BERGLAX","AMBLYRAJA_HYPERBOREA"
"MALLOTUS_VILLOSUS","AMBLYRAJA_HYPERBOREA"
"MELANOGRAMMUS_AEGLEFINUS","AMBLYRAJA_HYPERBOREA"
"MICROMESISTIUS_POUTASSOU","AMBLYRAJA_HYPERBOREA"
"PANDALUS_BOREALIS","AMBLYRAJA_HYPERBOREA"
"POLYCHAETA","AMBLYRAJA_HYPERBOREA"
"REINHARDTIUS_HIPPOGLOSSOIDES","AMBLYRAJA_HYPERBOREA"
"ROSSIA_SP","AMBLYRAJA_HYPERBOREA"
"SEBASTES_MARINUS","AMBLYRAJA_HYPERBOREA"
"SEBASTES_MENTELLA","AMBLYRAJA_HYPERBOREA"
"SEBASTES_SPP","AMBLYRAJA_HYPERBOREA"
"THEMISTO_ABYSSORUM","AMBLYRAJA_HYPERBOREA"
"THEMISTO_LIBELLULA","AMBLYRAJA_HYPERBOREA"
"THYSANOESSA_INERMIS","AMBLYRAJA_HYPERBOREA"
"THYSANOESSA_LONGICAUDATA","AMBLYRAJA_HYPERBOREA"
"AMBLYRAJA_RADIATA","AMBLYRAJA_RADIATA"
"AMMODYTES_SPP","AMBLYRAJA_RADIATA"
"ANARHICHAS_DENTICULATUS","AMBLYRAJA_RADIATA"
"ANARHICHAS_LUPUS","AMBLYRAJA_RADIATA"
"ANARHICHAS_MINOR","AMBLYRAJA_RADIATA"
"ARCTOZENUS_RISSO","AMBLYRAJA_RADIATA"
"ARRHIS_PHYLLONYX","AMBLYRAJA_RADIATA"
"ARTEDIELLUS_ATLANTICUS","AMBLYRAJA_RADIATA"
"BOREOGADUS_SAIDA","AMBLYRAJA_RADIATA"
"BROSME_BROSME","AMBLYRAJA_RADIATA"
"CHIONOECETES_OPILIO","AMBLYRAJA_RADIATA"
"CLUPEA_HARENGUS","AMBLYRAJA_RADIATA"
"COTTUNCULUS_MICROPS","AMBLYRAJA_RADIATA"
"CUCUMARIA_FRONDOSA","AMBLYRAJA_RADIATA"
"ELECTRA_ARCTICA","AMBLYRAJA_RADIATA"
"EUPHYSA_FLAMMEA","AMBLYRAJA_RADIATA"
"GADUS_MORHUA","AMBLYRAJA_RADIATA"
"GAMMARIDAE_INDET","AMBLYRAJA_RADIATA"
"GLYPTOCEPHALUS_CYNOGLOSSUS","AMBLYRAJA_RADIATA"
"GONATUS_FABRICII","AMBLYRAJA_RADIATA"
"HIPPOGLOSSOIDES_PLATESSOIDES","AMBLYRAJA_RADIATA"
"HYAS_SP","AMBLYRAJA_RADIATA"
