System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
BSQ,1,1,1,,1.1,carrion-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,0.0377902,,,field experience,estimate set = to SNEG,,,,,,,,,,,,,,
BSQ,2,2,1,,2.1,marine-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,108.06667,,,field experience,estimate 1/10 terrestrial detritus,,,,,,,,,,,,,,
BSQ,3,3,1,,3.1,terrestrial-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,1080.6667,,,"quantification, estuary-wide sampling",Kuris et al. (2008),,,,,,,,,,,,,,
BSQ,4,4,1,adult,4.1,Saltwort,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,7319.3333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Bataceae,Batis,maritima,
BSQ,6,6,1,adult,6.1,epipellic flora,microphytobenthos,taxon,assemblage,aggregated diverse assemblage of diatoms and cyanobacteria,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,771.63,,,extrapolation from other estuary,extrapolated from csm,,,,,,,,,,,,,,
BSQ,7,7,1,adult,7.1,Alkali Heath,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,595.33333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Frankeneaceae,Frankenia,salina,
BSQ,8,8,1,adult,8.1,Fleshy Jaumea,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,929.33333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Asteraceae,Jaumea,carnosa,
BSQ,10,10,1,adult,10.1,macroalgae,macroalgae,taxon,assemblage,"mostly the chlorophytes, Enteromorpha and Ulva",autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,794.15758,,,"approximation, quantified ratio",abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10,Plantae,,,,,,,,,,,,,
BSQ,11,11,1,adult,11.1,Shore Grass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,848,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Poaceae,Monanthocloe,littoralis,
BSQ,12,12,1,adult,12.1,phytoplankton,vascular plant,taxon,assemblage,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,3155.9376,,,extrapolation from other estuary,densities from epb,Plantae,,,,,,,,,,,,,
BSQ,13,13,1,adult,13.1,roots,vascular plant,taxon,assemblage,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,227215.97,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,,,,,,,,,,
BSQ,14,14,1,adult,14.1,Annual Pickleweed,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,4074.6667,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Salicornia,biglovii,
BSQ,15,15,1,adult,15.1,Parish's Pickleweed,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,21.333333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Salicornia,subterminalis,
BSQ,16,16,1,adult,16.1,Pickleweed,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,10011.333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Salicornia,virginica,
BSQ,17,17,1,adult,17.1,California Cordgrass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,1708.6667,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Poaceae,Spartina,foliosa,
BSQ,18,18,1,adult,18.1,Suaeda,vascular plant,taxon,Genus,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,2336,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Suaeda,spp.,
BSQ,19,19,1,adult,19.1,Arrowgrass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,27.333333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Juncaginaceae,Triglochin,concinnum,
BSQ,20,20,1,adult,20.1,Eelgrass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,813.33333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Zosteraceae,Zostera,marina,
BSQ,21,21,1,adult,21.1,foraminiferan,protist,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,2.43E-05,,10,species,volumetric,,,,0.2954648,,,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Protozoa,Foraminifera,,,,,,,,,,,,in plankton samples
BSQ,24,24,1,adult,24.1,annelid unknown (green saccate thin skin),annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00911533,0.00373656,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),34391.62,81323.2643,7,0.3134911,0.74128855,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,25,25,1,adult,25.1,Capitella capitata,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00361251,0.00171603,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),34391.62,81323.2643,7,0.12424,0.29378088,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,Capitella,capitata,
BSQ,26,26,1,adult,26.1,capitellid?,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.0019013,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),74017.41,205505.263,4,0.1407296,0.39072799,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
BSQ,29,29,1,adult,29.1,Cirriformia spirabrancha,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00411416,0.00167098,21,population,individuals encountered during the random sampling described in Kuris et al. (2008),1292687.51,1884866.23,4.00001725,4.9929166,6.79435382,4.00007367,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,Cirriformia,spirabrancha,
BSQ,34,34,1,adult,34.1,"Neanthes ""arenaceodentata""",annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.0041222,0.00115137,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),156632.72,252804.899,4.00064728,0.5608062,0.88724478,4.00376929,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Nereidae,Neanthes,arenaceodentata,
BSQ,35,35,1,adult,35.1,oligochaete,annelid,taxon,Class,,feeding,free-living,free-living,detritivore,,low,resident,,0.00114,,,approximation,"literature (size of Tubificoides denouxi, Shirley & Loden 1982)",,,,,,,,,Animalia,Annelida,,,Oligocheate,,,,,,,,,
