System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
EPB,1,1,1,,1.1,carrion-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,0.0165971,,,field experience,estimate set = to SNEG,,,,,,,,,,,,,,
EPB,2,2,1,,2.1,marine-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,4.0666667,,,field experience,estimate 1/10 terrestrial detritus,,,,,,,,,,,,,,
EPB,3,3,1,,3.1,terrestrial-detritus,detritus,detritus,,,nonfeeding,non-living,non-living,,,low,resident,,,,,,,,,,40.666667,,,"quantification, estuary-wide sampling",Kuris et al. (2008),,,,,,,,,,,,,,
EPB,4,4,1,adult,4.1,Saltwort,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,4718,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Bataceae,Batis,maritima,
EPB,6,6,1,adult,6.1,epipellic flora,microphytobenthos,taxon,assemblage,aggregated diverse assemblage of diatoms and cyanobacteria,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,847.14,,,extrapolation from other estuary,extrapolated from csm,,,,,,,,,,,,,,
EPB,7,7,1,adult,7.1,Alkali Heath,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,167.33333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Frankeneaceae,Frankenia,salina,
EPB,8,8,1,adult,8.1,Fleshy Jaumea,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,1543.3333,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Asteraceae,Jaumea,carnosa,
EPB,9,9,1,adult,9.1,California Sea Lavender,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,6.6666667,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Plumbaginaceae,Limonium,californicum,
EPB,10,10,1,adult,10.1,macroalgae,macroalgae,taxon,assemblage,"mostly the chlorophytes, Enteromorpha and Ulva",autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,912.32489,,,"approximation, quantified ratio",abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10,Plantae,,,,,,,,,,,,,
EPB,11,11,1,adult,11.1,Shore Grass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,310,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Poaceae,Monanthocloe,littoralis,
EPB,12,12,1,adult,12.1,phytoplankton,vascular plant,taxon,assemblage,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,3384.7829,,,"quantification, limited sampling","epb lagoon phytoplankton cell densities from  Montes-Hugo & Alvarez-Borrego 2007, assuming mean cell can be approximated by 50micron diameter sphere, tissue density of 1.1 g/mL, applied to aquatic habitat (chans, flats, pans, with mean depth of 0.5 m",Plantae,,,,,,,,,,,,,
EPB,13,13,1,adult,13.1,roots,vascular plant,taxon,assemblage,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,106141.67,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,,,,,,,,,,
EPB,14,14,1,adult,14.1,Annual Pickleweed,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,1616,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Salicornia,biglovii,
EPB,16,16,1,adult,16.1,Pickleweed,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,1958.2263,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Chenopodiaceae,Salicornia,virginica,
EPB,17,17,1,adult,17.1,California Cordgrass,vascular plant,taxon,Species,,autotroph,free-living,free-living,autotroph,,low,resident,,,,,,,,,,9030,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,,,,Angiospermae,,,,,,Poaceae,Spartina,foliosa,
EPB,21,21,1,adult,21.1,foraminiferan,protist,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,2.43E-05,,10,species,volumetric,,,,0.3169104,,,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Protozoa,Foraminifera,,,,,,,,,,,,in plankton samples
EPB,22,22,1,adult,22.1,annelid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00651882,0.00480078,13,population,individuals encountered during the random sampling described in Kuris et al. (2008),45323.68,85669.1295,6,0.2154143,0.46129557,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,23,23,1,adult,23.1,annelid red,annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00296524,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.0785259,0.18568412,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,26,26,1,adult,26.1,capitellid?,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00570975,0.00058059,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),15667.44,38336.8568,6,0.0894573,0.21889404,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,27,27,1,adult,27.1,cirratulid,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00421948,,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),109586.21,267884.996,4.00380471,0.4623973,1.13033656,4.00380471,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,,,
EPB,28,28,1,adult,28.1,cirratulid?,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00363676,0.00063182,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),45665.31,91287.4263,7.02573355,0.1858367,0.38240509,7.01016938,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,29,29,1,adult,29.1,Cirriformia spirabrancha,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.0035788,0.00122711,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),20143.86,36967.6833,6,0.0720908,0.13853728,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,Cirriformia,spirabrancha,
EPB,30,30,1,adult,30.1,ctenodrilid,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00658063,,102,population,individuals encountered during the random sampling described in Kuris et al. (2008),2658283.26,6262070.04,7,17.493192,41.2083969,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Ctenodrilidae,,,
EPB,31,31,1,adult,31.1,errant annelid,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00555352,0.00428598,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),127003.59,274203.371,4.04745275,0.4171782,0.6791473,7.76464883,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,32,32,1,adult,32.1,errant large annelid,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00990495,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.262304,0.62025027,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,33,33,1,adult,33.1,Neanthes,annelid,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00779106,0.00910013,25,population,individuals encountered during the random sampling described in Kuris et al. (2008),550881.2,592941.697,9.65585693,3.8526135,6.144319,4.29177481,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Nereidae,Neanthes,,
EPB,35,35,1,adult,35.1,oligochaete,annelid,taxon,Class,,feeding,free-living,free-living,detritivore,,low,resident,,0.00114,,,approximation,"literature (size of Tubificoides denouxi, Shirley & Loden 1982)",,,,,,,,,Animalia,Annelida,,,Oligocheate,,,,,,,,,
EPB,45,45,1,adult,45.1,spionid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00635377,0.00282134,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),82254.75,187930.737,7.00000778,0.7555735,1.75928686,7.00000033,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
EPB,46,46,1,adult,46.1,spionid?,annelid,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00936255,0.00054318,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),79446.34,187860.742,7,0.7438207,1.75885642,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
EPB,47,22,2,larva,22.2,annelid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0009375,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,48,23,2,larva,23.2,annelid red,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0003418,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,51,26,2,larva,26.2,capitellid?,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0003893,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,52,27,2,larva,27.2,cirratulid,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0020124,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,,,
EPB,53,28,2,larva,28.2,cirratulid?,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0008088,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,54,29,2,larva,29.2,Cirriformia spirabrancha,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0003137,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Cirratulidae,Cirriformia,spirabrancha,
EPB,55,30,2,larva,30.2,ctenodrilid,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0761317,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Ctenodrilidae,,,
EPB,56,31,2,larva,31.2,errant annelid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0018156,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,57,32,2,larva,32.2,errant large annelid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0011416,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,,,,
EPB,58,33,2,larva,33.2,Neanthes,annelid,life stage,Species,,nonfeeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0167669,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Nereidae,Neanthes,,
EPB,69,45,2,larva,45.2,spionid,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0032883,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
EPB,70,46,2,larva,46.2,spionid?,annelid,life stage,Species,,feeding,free-living,free-living,predator,,high,resident,,3.37E-05,,10,approximation,estimated volumetrically from a CSM plankton sample,,,,0.0032372,,,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,
EPB,71,47,1,adult,47.1,leech(glossiphonid),leech,taxon,Family,,feeding,free-living,free-living,micropredator,,,,,,,,,,,,,,,,,,Animalia,Annelida,,,Hirudinoidea,,,,,,Glossiphoniidae,,,
EPB,72,48,1,adult,48.1,anthozoan,anthozoan,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00107102,0.00041662,8,population,individuals encountered during the random sampling described in Kuris et al. (2008),123834.1,251337.839,7.00066499,0.1457383,0.3055195,7.00020738,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Cnidaria,,,Anthozoa,,,,,,,,,
