"node","taxa.ID","nodeID","Lifestyle","n.lifestages","LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 4","Species 4",4,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 14","Species 14",14,"free-living",1,0
"Species 15","Species 15",15,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 17","Species 17",17,"free-living",1,0
"Species 18","Species 18",18,"free-living",1,0
"Species 19","Species 19",19,"free-living",1,0
"Species 20","Species 20",20,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 24","Species 24",36.5,"free-living",2,1
"Species 25","Species 25",37.5,"free-living",2,1
"Species 26","Species 26",38.5,"free-living",2,1
"Species 29","Species 29",41.5,"free-living",2,1
"Species 34","Species 34",46.5,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 36","Species 36",48,"free-living",2,1
"Species 37","Species 37",49,"free-living",2,1
"Species 38","Species 38",50,"free-living",2,1
"Species 39","Species 39",51,"free-living",2,1
"Species 40","Species 40",52,"free-living",2,1
"Species 41","Species 41",53,"free-living",2,1
"Species 42","Species 42",54,"free-living",2,1
"Species 43","Species 43",55,"free-living",2,1
"Species 45","Species 45",57,"free-living",2,1
"Species 47","Species 47",71,"free-living",1,0
"Species 48","Species 48",72,"free-living",1,0
"Species 53","Species 53",77,"free-living",1,0
"Species 54","Species 54",78,"free-living",1,0
"Species 66","Species 66",98,"free-living",2,1
"Species 75","Species 75",115,"free-living",1,0
"Species 76","Species 76",116,"free-living",1,0
"Species 77","Species 77",117,"free-living",1,0
"Species 79","Species 79",119,"free-living",1,0
"Species 82","Species 82",122,"free-living",1,0
