"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 25"
"Species 2","Species 35"
"Species 2","Species 44"
"Species 234","Species 44"
"Species 235","Species 44"
"Species 237","Species 44"
"Species 239","Species 44"
"Species 240","Species 44"
"Species 244","Species 44"
"Species 247","Species 44"
"Species 251","Species 44"
"Species 265","Species 44"
"Species 268","Species 44"
"Species 269","Species 44"
"Species 271","Species 44"
"Species 272","Species 44"
"Species 273","Species 44"
"Species 275","Species 44"
"Species 276","Species 44"
"Species 277","Species 44"
"Species 279","Species 44"
"Species 280","Species 44"
"Species 12","Species 25"
"Species 12","Species 44"
"Species 122","Species 47"
"Species 127","Species 47"
"Species 113","Species 50"
"Species 25","Species 51"
"Species 35","Species 51"
"Species 44","Species 51"
"Species 216","Species 51"
"Species 218","Species 51"
"Species 219","Species 51"
"Species 233","Species 51"
"Species 246","Species 51"
"Species 250","Species 51"
"Species 25","Species 53"
"Species 35","Species 53"
"Species 44","Species 53"
"Species 216","Species 53"
"Species 218","Species 53"
"Species 219","Species 53"
"Species 233","Species 53"
"Species 246","Species 53"
"Species 250","Species 53"
"Species 12","Species 61"
"Species 2","Species 64"
"Species 6","Species 64"
"Species 12","Species 64"
"Species 233","Species 64"
"Species 234","Species 64"
"Species 235","Species 64"
"Species 237","Species 64"
"Species 238","Species 64"
"Species 239","Species 64"
"Species 240","Species 64"
"Species 244","Species 64"
"Species 245","Species 64"
"Species 246","Species 64"
"Species 247","Species 64"
"Species 250","Species 64"
"Species 251","Species 64"
"Species 255","Species 64"
"Species 265","Species 64"
"Species 266","Species 64"
"Species 267","Species 64"
"Species 268","Species 64"
"Species 269","Species 64"
"Species 271","Species 64"
"Species 272","Species 64"
"Species 273","Species 64"
"Species 274","Species 64"
"Species 275","Species 64"
"Species 276","Species 64"
"Species 277","Species 64"
"Species 279","Species 64"
"Species 280","Species 64"
"Species 2","Species 65"
"Species 6","Species 65"
"Species 12","Species 65"
"Species 25","Species 65"
"Species 44","Species 65"
"Species 61","Species 65"
"Species 64","Species 65"
"Species 65","Species 65"
"Species 66","Species 65"
"Species 67","Species 65"
"Species 68","Species 65"
"Species 70","Species 65"
"Species 71","Species 65"
