"resource","consumer"
"Species 2","Species 21"
"Species 6","Species 21"
"Species 2","Species 25"
"Species 2","Species 35"
"Species 2","Species 44"
"Species 354","Species 44"
"Species 355","Species 44"
"Species 357","Species 44"
"Species 359","Species 44"
"Species 360","Species 44"
"Species 364","Species 44"
"Species 367","Species 44"
"Species 370","Species 44"
"Species 384","Species 44"
"Species 387","Species 44"
"Species 388","Species 44"
"Species 390","Species 44"
"Species 391","Species 44"
"Species 392","Species 44"
"Species 394","Species 44"
"Species 395","Species 44"
"Species 396","Species 44"
"Species 399","Species 44"
"Species 400","Species 44"
"Species 12","Species 50"
"Species 12","Species 68"
"Species 168","Species 71"
"Species 173","Species 71"
"Species 159","Species 74"
"Species 25","Species 75"
"Species 35","Species 75"
"Species 44","Species 75"
"Species 262","Species 75"
"Species 264","Species 75"
"Species 265","Species 75"
"Species 406","Species 75"
"Species 414","Species 75"
"Species 417","Species 75"
"Species 25","Species 77"
"Species 35","Species 77"
"Species 44","Species 77"
"Species 262","Species 77"
"Species 264","Species 77"
"Species 265","Species 77"
"Species 406","Species 77"
"Species 414","Species 77"
"Species 417","Species 77"
"Species 12","Species 85"
"Species 2","Species 88"
"Species 6","Species 88"
"Species 12","Species 88"
"Species 353","Species 88"
"Species 354","Species 88"
"Species 355","Species 88"
"Species 357","Species 88"
"Species 358","Species 88"
"Species 359","Species 88"
"Species 360","Species 88"
"Species 364","Species 88"
"Species 365","Species 88"
"Species 366","Species 88"
"Species 367","Species 88"
"Species 369","Species 88"
"Species 370","Species 88"
"Species 374","Species 88"
"Species 384","Species 88"
"Species 385","Species 88"
"Species 386","Species 88"
"Species 387","Species 88"
"Species 388","Species 88"
"Species 390","Species 88"
"Species 391","Species 88"
"Species 392","Species 88"
"Species 393","Species 88"
"Species 394","Species 88"
"Species 395","Species 88"
"Species 396","Species 88"
"Species 399","Species 88"
"Species 400","Species 88"
"Species 2","Species 89"
"Species 6","Species 89"
"Species 12","Species 89"
"Species 50","Species 89"
"Species 68","Species 89"
"Species 101","Species 89"
"Species 104","Species 89"
"Species 105","Species 89"
"Species 106","Species 89"
"Species 107","Species 89"
"Species 108","Species 89"
"Species 110","Species 89"
"Species 111","Species 89"
