"node","taxa.ID","nodeID","Lifestyle","n.lifestages","LS"
"Species 1","Species 1",1,"non-living",1,0
"Species 2","Species 2",2,"non-living",1,0
"Species 3","Species 3",3,"non-living",1,0
"Species 4","Species 4",4,"free-living",1,0
"Species 6","Species 6",6,"free-living",1,0
"Species 7","Species 7",7,"free-living",1,0
"Species 8","Species 8",8,"free-living",1,0
"Species 9","Species 9",9,"free-living",1,0
"Species 10","Species 10",10,"free-living",1,0
"Species 11","Species 11",11,"free-living",1,0
"Species 12","Species 12",12,"free-living",1,0
"Species 13","Species 13",13,"free-living",1,0
"Species 14","Species 14",14,"free-living",1,0
"Species 16","Species 16",16,"free-living",1,0
"Species 17","Species 17",17,"free-living",1,0
"Species 21","Species 21",21,"free-living",1,0
"Species 22","Species 22",34.5,"free-living",2,1
"Species 23","Species 23",35.5,"free-living",2,1
"Species 26","Species 26",38.5,"free-living",2,1
"Species 27","Species 27",39.5,"free-living",2,1
"Species 28","Species 28",40.5,"free-living",2,1
"Species 29","Species 29",41.5,"free-living",2,1
"Species 30","Species 30",42.5,"free-living",2,1
"Species 31","Species 31",43.5,"free-living",2,1
"Species 32","Species 32",44.5,"free-living",2,1
"Species 33","Species 33",45.5,"free-living",2,1
"Species 35","Species 35",35,"free-living",1,0
"Species 45","Species 45",57,"free-living",2,1
"Species 46","Species 46",58,"free-living",2,1
"Species 47","Species 47",71,"free-living",1,0
"Species 48","Species 48",72,"free-living",1,0
"Species 49","Species 49",73,"free-living",1,0
"Species 50","Species 50",74,"infectious",1,0
"Species 52","Species 52",76,"free-living",1,0
"Species 53","Species 53",77,"free-living",1,0
"Species 55","Species 55",79,"free-living",1,0
"Species 56","Species 56",80,"free-living",1,0
"Species 57","Species 57",81,"free-living",1,0
"Species 58","Species 58",82,"free-living",1,0
"Species 59","Species 59",91,"free-living",2,1
"Species 60","Species 60",92,"free-living",2,1
"Species 61","Species 61",93,"free-living",2,1
"Species 62","Species 62",94,"free-living",2,1
"Species 63","Species 63",95,"free-living",2,1
