ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom
7,1,7,1,1,1,7.1,1.1,18,detritivory,modelled,,,,,,,
8,1,8,1,1,1,8.1,1.1,18,detritivory,modelled,,,,,,,
9,1,9,1,1,1,9.1,1.1,18,detritivory,inferred,,,,,,,
10,1,10,1,1,1,10.1,1.1,18,detritivory,modelled,Lazim and Learner 1987,,,,,,
13,1,13,1,1,1,13.1,1.1,18,detritivory,modelled,Kesler et al. 1986,,,,,,
14,1,14,1,1,1,14.1,1.1,18,detritivory,modelled,,,,,,,
15,1,15,1,1,1,15.1,1.1,18,detritivory,modelled,Hargrave 1970,,,,,,
18,1,18,1,1,1,18.1,1.1,18,detritivory,inferred,,,,,,,
19,1,19,1,1,1,19.1,1.1,18,detritivory,inferred,,,,,,,
21,1,20,1,2,1,20.2,1.1,18,detritivory,modelled,"Brown 1961, Cushing and Rader 1981",,,,,,
24,1,22,1,1,1,22.1,1.1,18,detritivory,modelled,Hallmark 1972,,,,,,
26,1,23,1,1,1,23.1,1.1,18,detritivory,modelled,Plague 1996,,,,,,
32,1,26,1,1,1,26.1,1.1,18,detritivory,inferred,,,,,,,
33,1,26,1,2,1,26.2,1.1,18,detritivory,inferred,,,,,,,
40,1,29,1,2,1,29.2,1.1,18,detritivory,modelled,,,,,,,
42,1,30,1,2,1,30.2,1.1,18,detritivory,modelled,Keiper et al. 2002,,,,,,
45,1,31,1,2,1,31.2,1.1,18,detritivory,modelled,Keiper et al. 2002,,,,,,
58,1,37,1,2,1,37.2,1.1,18,detritivory,inferred,,,,,,,
60,1,38,1,2,1,38.2,1.1,18,detritivory,modelled,,,,,,,
62,1,39,1,2,1,39.2,1.1,18,detritivory,inferred,,,,,,,
7,2,7,2,1,1,7.1,2.1,18,detritivory,modelled,,,,,,,
8,2,8,2,1,1,8.1,2.1,18,detritivory,modelled,,,,,,,
9,2,9,2,1,1,9.1,2.1,18,detritivory,inferred,,,,,,,
12,2,12,2,1,1,12.1,2.1,18,detritivory,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
24,2,22,2,1,1,22.1,2.1,18,detritivory,modelled,Hallmark 1972,,,,,,
26,2,23,2,1,1,23.1,2.1,18,detritivory,modelled,Plague 1996,,,,,,
30,2,25,2,1,1,25.1,2.1,18,detritivory,modelled,Izabella et al. 2007,,,,,,
31,2,25,2,2,1,25.2,2.1,18,detritivory,inferred,,,,,,,
32,2,26,2,1,1,26.1,2.1,18,detritivory,inferred,,,,,,,
33,2,26,2,2,1,26.2,2.1,18,detritivory,inferred,,,,,,,
40,2,29,2,2,1,29.2,2.1,18,detritivory,modelled,,,,,,,
45,2,31,2,2,1,31.2,2.1,18,detritivory,modelled,Keiper et al. 2002,,,,,,
58,2,37,2,2,1,37.2,2.1,18,detritivory,inferred,,,,,,,
60,2,38,2,2,1,38.2,2.1,18,detritivory,modelled,,,,,,,
62,2,39,2,2,1,39.2,2.1,18,detritivory,inferred,,,,,,,
70,2,47,2,1,1,47.1,2.1,18,detritivory,modelled,,,,,,,
71,2,48,2,1,1,48.1,2.1,18,detritivory,modelled,,,,,,,
6,3,6,3,1,1,6.1,3.1,1,predation,modelled,,,,,,,
17,3,17,3,1,1,17.1,3.1,1,predation,modelled,Williamson 1987,,,,,,
18,3,18,3,1,1,18.1,3.1,1,predation,inferred,,,,,,,
19,3,19,3,1,1,19.1,3.1,1,predation,modelled,"McLay 1978, Diner et al. 1986",,,,,,
58,3,37,3,2,1,37.2,3.1,1,predation,observed,,,,,,,
60,3,38,3,2,1,38.2,3.1,1,predation,observed,,,,,,,
62,3,39,3,2,1,39.2,3.1,1,predation,observed,,,,,,,
6,4,6,4,1,1,6.1,4.1,1,predation,modelled,,,,,,,
7,4,7,4,1,1,7.1,4.1,1,predation,modelled,,,,,,,
9,4,9,4,1,1,9.1,4.1,1,predation,modelled,Smith and Kaster 1986,,,,,,
13,4,13,4,1,1,13.1,4.1,1,predation,modelled,Lowe and Hunter 1988,,,,,,
14,4,14,4,1,1,14.1,4.1,1,predation,modelled,,,,,,,
15,4,15,4,1,1,15.1,4.1,1,predation,modelled,Hargrave 1970,,,,,,
21,4,20,4,2,1,20.2,4.1,1,predation,modelled,"Brown 1961, Cushing and Rader 1981",,,,,,
22,4,21,4,1,1,21.1,4.1,1,predation,inferred,,,,,,,
23,4,21,4,2,1,21.2,4.1,1,predation,inferred,,,,,,,
24,4,22,4,1,1,22.1,4.1,1,predation,modelled,Hallmark 1972,,,,,,
26,4,23,4,1,1,23.1,4.1,1,predation,modelled,Plague 1996,,,,,,
