NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(g/m^2),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
1,1,1,,1.1,detritus,Detritus,detritus,,,non-feeding,non-living,non-living,,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
2,2,1,,2.1,carrion,Detritus,detritus,,,non-feeding,non-living,non-living,,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
3,3,1,adult,3.1,phytoplankton,Plant,Functional Group,assemblage,aggregated diverse assemblage,autotroph,free-living,free-living,autotroph,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
4,4,1,adult,4.1,benthic microalgae/periphyton,Plant,Functional Group,assemblage,aggregated diverse assemblage,autotroph,free-living,free-living,autotroph,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
5,5,1,adult,5.1,vascular plants,Plant,Functional Group,assemblage,aggregated diverse assemblage ,autotroph,free-living,free-living,autotroph,,Low,Resident,Native,,,,,,,,Plantae,,,,,,,,,,,,,
6,6,1,adult,6.1,zooplankton,Zooplankton,Functional Group,assemblage,aggregated diverse assemblage ,feeding,free-living,free-living,predator,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
7,7,1,adult,7.1,meiofauna,Meiofauna,Functional Group,assemblage,aggregated diverse assemblage ,feeding,free-living,free-living,,,Low,Resident,Native,,,,,,,,,,,,,,,,,,,,,
8,8,1,adult,8.1,bacteria,Bacteria,Functional Group,assemblage,aggregated diverse assemblage ,feeding,free-living,free-living,,,Low,Resident,Native,,,,,,,,Bacteria,,,,,,,,,,,,,
9,9,1,adult,9.1,Dero sp.,Oligochaeta,taxon,Genus ,,feeding,free-living,free-living,detritivore ,,Low,Resident,Native,,,,,,,,Animalia,Annelida ,,,Oligochaeta,,Haplotaxida,Tubificina,,Tubificoidea,Naididae,Dero,,
10,10,1,adult,10.1,Tubificidae,Oligochaeta,taxon,Family,,feeding,free-living,free-living,detritivore ,,Low,Resident,Native,,,,,,,,Animalia,Annelida ,,,Oligochaeta,,Haplotaxida,Tubificina,,Tubificoidea,Tubificidae,,,
11,11,1,adult,11.1,Chaetogaster sp.,Oligochaeta,taxon,Genus,,feeding,free-living,free-living,detritivore ,,Low,Resident,Native,,,,,,,,Animalia,Annelida ,,,Oligochaeta,,Haplotaxida,Tubificina,,Tubificoidea,Naididae,Chaetogaster,,
