Table 2B: Definitions of variables in the Nodes data sheet,,,
Column Number,Column Header,Variable,Variable Description
1,NodeID,nominal numeric,The unordered nominal node specific ID number of the discrete species lifecycle stage. 
2,SpeciesID,nominal numeric,The unordered Species ID number. This is independent of Node ID number and is consistent across nodes depicting different lifecycle stages of the same species. If one wishes to combine across life stages they can substitute this number for the Node ID in analyses.
3,StageID,nominal numeric,"The ordinal Stage ID number within species. Adult lifecycle stages are designated as 1. The youngest lifecycle stage is then 2, next youngest 3, etc. Each number corresponds to a particular lifecycle stage that is consistent within a group but not between them (e.g. for trematodes 2 = rediae or sporocyst, but for dipterans 2 = larvae). Not all of a species' lifecycle stages are necessarily present in the food web."
4,Stage,nominal enumerated,"Note, ""adult"" includes juveniles (prereproductives) for species with no metamorphosis separating the two."
5,Species.StageID,nominal numeric,"The unique nominal numeric code for a node that combines Species ID and Stage ID, which are separated by a decimal point."
6,WorkingName,nominal,"A working name for each node that is intended to be informative and useful. When available, widely used common names were employed. If no common name exists then a species name was used. If no species name was available, then a working or descriptive name was employed."
7,OrganismalGroup,Acanthocephala,Includes all Acanthocephala
7,OrganismalGroup,Amphibia,Includes all Amphibia
7,OrganismalGroup,Amphipoda,Includes all Amphipoda
7,OrganismalGroup,Arachnida,Includes all Arachnida
7,OrganismalGroup,Aves,Includes all Aves
7,OrganismalGroup,Bacteria,Includes all Bacteria
7,OrganismalGroup,Cladocera,Includes all cladocerans
7,OrganismalGroup,Copepoda,Includes all Copepoda
7,OrganismalGroup,Coleoptera,Includes all Coleoptera
7,OrganismalGroup,Detritus,Includes all detritus
7,OrganismalGroup,Diptera,Includes all Diptera 
7,OrganismalGroup,Ephemeroptera,Includes all Ephemeroptera
7,OrganismalGroup,Fungi,Includes all Fungi
7,OrganismalGroup,Gastropoda,Includes all Gastropoda
7,OrganismalGroup,Hemiptera,Includes all Hemiptera
7,OrganismalGroup,Hirudinea,Includes all Hirudinea
7,OrganismalGroup,Mamalia,Includes all Mammalia
7,OrganismalGroup,Meiofauna,Includes all meiofauna not included in other nodes
7,OrganismalGroup,Nematoda ,Includes all Nematoda
7,OrganismalGroup,Odonata,Includes all odonata
7,OrganismalGroup,Oligochaeta,"Includes all Oligochaeta, except Hirudinea"
7,OrganismalGroup,Ostracoda,Includes all Ostracoda
7,OrganismalGroup,Plant,"Includes all photosynthesizers (phytoplankton, microphytobenthos, plants, macroalgae) and parasitic plants."
7,OrganismalGroup,Protista,"Includes all Protists, free-living and symbiotic"
7,OrganismalGroup,Reptilia,Includes all Reptilia
7,OrganismalGroup,Trematoda,Includes all Trematoda
7,OrganismalGroup,Zooplankton,Includes all zooplankton not included in other nodes
8,NodeType,Detritus,"The node is a non-living resource stock (e.g. carrion, nitrate)"
8,NodeType,Organism Parts,"Node refers to a specific edible portion or part of an organism (e.g. the leaves, fruit or roots of a tree)."
8,NodeType,Taxon,"The node is resolved to a recognized taxonomic level (generally species) but has not been broken into discrete lifecycle stages (e.g. birds, fish)."
8,NodeType,Life Stage,"A species has been broken into life stages, each of which is a discrete node."
8,NodeType,Functional Group,"The node is resolved to a commonly recognized ecological functional group that does not share a common taxonomic affiliation (e.g. zooplankton, meiofauna, etc.). "
9,Resolution,nominal,"The lowest taxonomic level to which a Node has been identified, or an indication of whether a node represents an aggregated assemblage. A node does not have to be keyed out to a specific epithet to be treated as a discrete species. Higher taxonomic classifications denote aggregation of species in a node."
10,ResolutionNotes,nominal,Any notes on node resolution (e.g. whether or not a node described as a discrete species is actually suspected of being a cryptic species assemblage).
11,Feeding,Feeding,The node represents a consumer in the web.
11,Feeding,Non-Feeding,"The respective node does not represent a consumer in the web. This designation applies, for instance, to detritus and non-feeding metazoan life stages (e.g. cercariae)."
11,Feeding,Autotroph,The node converts simple inorganic molecules into complex organic molecules through photosynthesis or chemosynthesis.
12,Lifestyle(stage),Free-Living,"The node does NOT have a symbiotic relationship with another species, but interacts with several heterospecific individuals throughout the duration of its life stage."
12,Lifestyle(stage),Infectious,The node has an obligate parasitic symbiosis with another species. 
12,Lifestyle(stage),Commensal,"The node has a non-trophic symbiosis with another species, usually using the host organism as habitat."
12,Lifestyle(stage),Mutualist,"The node has a symbiosis with another organism where, on average the fitness of the individuals involved in the symbiosis is greater, than if each is not in the symbiotic relationship."
13,Lifestyle(species),Free-Living,"The species does NOT have a symbiotic relationship with another species, but interacts with several heterospecific individuals throughout its life."
13,Lifestyle(species),Infectious,The species has an obligate parasitic symbiosis with another species.
