Table 3B: Definitions of variables in Links data sets.,,,
Column Number,Column Name,Variable,Variable Description
1,ConsumerNodeID,nominal numeric,The unordered nominal node specific ID number of the consumer in the interaction.
2,ResourceNodeID,nominal numeric,The unordered nominal node specific ID number of the resource in the interaction.
3,ConsumerSpeciesID,nominal numeric,The unordered nominal species specific ID number of the consumer in the interaction.
4,ResourceSpeciesID,nominal numeric,The unordered nominal species specific ID number of the resource in the interaction.
5,ConsumerStageID,nominal numeric,The unordered nominal stage specific ID number of the consumer in the interaction.
6,ResourceStageID,nominal numeric,The unordered nominal stage specific ID number of the resource in the interaction.
7,ConsumerSpecies.StageID,nominal numeric,"The combined Species ID number and Stage ID number of the consumer, separated by the decimal point."
8,ResourceSpecies.StageID,nominal numeric,"The combined Species ID number and Stage ID number of the resource, separated by the decimal point."
9,LinkTypeID,1,Predation
9,LinkTypeID,2,Social Predation
9,LinkTypeID,3,Micropredation
9,LinkTypeID,4,Parasitic Castration
9,LinkTypeID,5,Pathogen Infection
9,LinkTypeID,6,Macroparasitism
9,LinkTypeID,7,Pollination
9,LinkTypeID,8,Parasitoid Infection
9,LinkTypeID,9,Commensalism
9,LinkTypeID,10,Trophically Transmitted Parasitic Castration
9,LinkTypeID,11,Trophically Transmitted Pathogen Infection
9,LinkTypeID,12,Trophically Transmitted Parasitism
9,LinkTypeID,13,Trophically Transmitted Commensalism
9,LinkTypeID,14,Concurrent Predation on Symbionts
9,LinkTypeID,15,Trophic Transmission
9,LinkTypeID,16,Predation on free-living non-feeding stages
9,LinkTypeID,17,Predation on commensal non-feeding stages
9,LinkTypeID,18,Detritivory
9,LinkTypeID,19,Parasite Intraguild Antagonism
9,LinkTypeID,20,Durable Mutualism
9,LinkTypeID,21,Facultative Micropredation
10,LinkType,nominal,See metadata Table 3C for the enumerated descriptive list of link-type variables.
11,LinkEvidence,Observed,"The link was directly observed in the field, through gut content analysis, or through parasitological examination"
11,LinkEvidence,Inferred,"The link was inferred to exist in the system either because it was observed at other localities, observed under experimental conditions, or was based on expert opinion. "
11,LinkEvidence,Modeled,The link was included when similar species interactions were used as models for this particular interaction.
11,LinkEvidence,Speculated,"The link is inferred by general knowledge of the taxon, but could be inaccurate. ""Speculated"" in these webs is only employed for 10 links concerning uncertain feeding biology of some unidentified polychaete larvae: assuming they prey on phytoplankton, versus being non-feeding."
12,LinkEvidenceNotes,nominal,A qualitative description of the link evidence source.
13,LinkFrequency,interval numeric ,"For observed links, the proportion of times that the link was observed (e.g., the proportion of consumer guts within which the resource species was present). "
14,LinkN,integer,The number of consumers that were examined to detect this particular link.
15,DietFraction,interval numeric ,"The fraction of the consumer's diet (e.g., in terms of biomass/year) comprised by the resource node."
16,ConsumptionRate,interval numeric ,"The rate at which the interaction occurs, explicitly expressed in numbers, biomass or energy per unit time."
17,VectorFrom,nominal numeric,"The Node ID of the vector necessary for a parasitic feeding link to occur. For instance, enter the Node ID for mosquito here if the link is malaria-human. If more than one vector can lead to this type of parasitism, there will be multiple rows repeated here, one for each prey type. Note, in many cases, this will lead to duplicate links, which may need to be considered in analyses."
18,PreyFrom,nominal numeric,"The Node ID of prey needed to be consumed for a particular parasite-prey interaction to occur (via trophic transmission). If more than one prey can lead to parasitism, there will be multiple rows repeated here, one for each prey type. Note, in many cases, this will lead to duplicate links, which may need to be considered in analyses."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
